1COV.DE_Volume,ADS.DE_Volume,AIR.DE_Volume,ALV.DE_Volume,BAS.DE_Volume,BMW.DE_Volume,CBK.DE_Volume,DTE.DE_Volume,EOAN.DE_Volume,HEI.DE_Volume
87296,31482,9345,47459,103937,103323,468048,841242,503102,17786
83473,34506,15467,68239,166263,267277,576801,1162364,654746,48841
97091,36374,7671,55483,194723,164099,841194,1248474,527808,61784
85459,34806,10413,57632,160267,154796,1034341,1143259,600344,78121
75992,6815,1627,15427,51582,36940,160691,138379,135113,16146
89564,25301,5521,68751,171824,245952,380257,568201,467337,56925
73395,21062,6936,56239,117076,251919,392430,358115,412001,48991
42591,21679,5498,58399,218347,253355,318733,424707,450078,40379
43412,27363,5133,110054,174743,179787,298781,620086,621928,46590
47049,46176,5409,99731,157063,191425,464663,354509,481145,25506
63887,44311,7272,227846,197384,439245,972833,481556,673112,66650
96321,58838,10075,238258,284916,327763,1326819,763037,1364976,83358
98237,53395,6823,85650,280617,405633,686383,634526,631382,62949
74233,15165,3362,28237,44665,147909,213381,192983,569385,9200
158771,49112,5463,103686,208414,354343,1254912,403535,2057802,58498
153337,40863,2837,100305,180274,338033,611848,488937,635727,36802
63448,34853,1925,84214,180228,288512,468331,558341,597838,32383
57288,48429,5474,140299,286917,295749,349450,892648,737355,65026
87836,26637,2809,48997,232838,126687,620797,223133,586637,37753
66774,34231,4366,99676,210356,169534,832443,418685,724596,94471
95742,40410,12686,108244,254107,214786,1046511,560561,754798,80915
142070,46792,9147,101988,337192,228709,794061,620522,545111,78056
34678,20642,3834,37553,121774,70394,155057,164307,266693,114792
108420,39164,7375,86298,130752,127654,955400,395896,1010346,111728
111219,16310,8316,48578,133843,98152,658291,372975,781443,101506
111051,23601,8392,65047,181612,79855,396310,914656,586557,65991
113695,28518,10329,58678,184099,110491,256352,889113,915428,56964
120919,16222,7425,52034,117965,83149,210743,415236,773168,27916
134911,33820,23639,96934,192539,143534,694731,1464709,771969,40058
166161,46743,26764,170585,270715,144892,723135,1352738,839171,125642
107060,47607,19393,133404,230046,171326,1078018,1139857,754516,134691
75661,16099,4892,34516,159979,144777,191978,636329,513221,80428
351494,33791,28643,83234,546914,190795,549091,799892,1058945,198542
318855,31255,14592,116527,309292,163529,496918,1413901,481828,149797
151657,29425,24353,111193,348707,226901,1265554,1386142,713970,100150
153436,50435,3867,93652,384698,174497,512865,711530,478084,93860
110702,40183,1775,52829,191025,100699,800876,768778,546486,79549
230549,66590,4226,76767,341299,108174,734791,472666,805354,63676
198603,66534,12313,108903,374918,179823,691455,707886,1112954,138403
121468,76550,16420,91632,261588,175859,687136,633364,1122304,153589
116185,13285,4735,38932,82348,82191,88129,140299,203042,18009
310617,33371,8695,227455,435698,164961,933748,461583,1190657,58758
154172,36174,16629,177173,502636,173138,506653,483122,793859,56740
262984,25163,5708,79512,542703,137389,386818,392571,651662,57952
281757,29029,5957,100743,348491,121334,574608,401509,799555,62319
266398,56100,10164,121697,274778,152043,442089,501571,634438,47119
271463,43240,10511,88192,250640,150854,870835,478495,535534,85754
353536,67750,13333,140620,431224,196695,1277613,611361,637705,177739
316152,53898,17222,129423,302644,138411,563335,949332,952837,69413
74006,19585,3344,40505,144299,89543,340486,261453,247814,20359
147134,40180,3854,79538,515163,206306,509545,1170338,740548,83759
61940,94313,3917,164333,257933,192830,2348108,1323481,762946,81466
88758,35437,7467,228351,286292,180468,2496745,1362908,884239,41026
84783,53105,14613,118976,249740,161749,937249,966462,987550,44151
117049,69339,9084,172950,301422,170674,1347780,1203473,778250,52517
115760,54118,9319,281473,252267,200571,1889290,1384627,782954,46802
123024,82120,16698,173868,322589,316005,1525216,1543989,784498,82825
129021,83935,6579,103148,260369,257951,816250,2181681,607405,70343
61455,17331,4097,149944,105735,52370,988752,438801,276177,18767
84576,70976,18154,102600,279491,152604,1737924,754190,780957,44517
70870,48065,13916,112196,251971,136419,2084904,621546,526657,27275
60599,40775,9506,78092,162322,112973,1570087,657466,526909,23732
89110,81065,4042,149490,401264,144487,1846272,1189308,962777,63559
54116,92511,10778,85215,172048,76331,1080267,670314,572968,35959
70106,98029,15405,137071,273781,104770,1137318,2104047,591143,29972
109307,72849,15631,197922,300352,160115,1288118,1496269,604690,44742
93478,60180,22228,141296,257932,138698,1352912,1173369,623820,36898
23914,23443,6791,44998,223165,73844,202593,537077,762873,34684
164271,48028,10004,75209,319614,139202,642083,734488,625835,38233
151270,77977,6773,54414,265406,276555,1137605,869114,857652,22924
163444,31984,4331,115730,168521,113755,845278,499153,434336,28408
151507,19010,6002,97830,163755,40470,615762,333760,469099,38054
