Datetime,1COV.DE_Volume,ADS.DE_Volume,AIR.DE_Volume,ALV.DE_Volume,BAS.DE_Volume,BMW.DE_Volume,CBK.DE_Volume,DTE.DE_Volume,EOAN.DE_Volume,HEI.DE_Volume
2021-05-17 14:00:00+02:00,0,0,0,0,0,0,0,0,0,0
2021-05-17 15:00:00+02:00,46552,80806,7368,88885,182597,52841,525043,1059798,855932,18118
2021-05-17 16:00:00+02:00,149627,170870,25248,111249,388082,157712,1343043,2222268,1780703,43229
2021-05-17 17:00:00+02:00,125345,139728,9461,65812,241909,270473,1287660,1773822,2016319,35539
2021-05-18 09:00:00+02:00,53188,65546,4097,127548,190320,102987,705895,1362463,525369,44788
2021-05-18 10:00:00+02:00,124799,106684,9751,123140,272683,196427,2246482,1323549,1431399,51979
2021-05-18 11:00:00+02:00,103479,107201,5370,82518,222485,150791,1325801,1568560,1008433,49503
2021-05-18 12:00:00+02:00,102029,87944,8838,64650,180228,109866,499642,730932,1173191,66780
2021-05-18 13:00:00+02:00,80204,62811,7655,110756,187489,69203,454195,856333,1002834,34897
2021-05-18 14:00:00+02:00,74480,38707,9242,87350,176942,98397,1246632,989111,1253832,38425
2021-05-18 15:00:00+02:00,138781,56446,16019,81229,229711,113201,1025731,1060753,1764363,53251
2021-05-18 16:00:00+02:00,147544,79439,17451,119085,349006,216326,924983,1987704,2107543,112154
2021-05-18 17:00:00+02:00,124847,65104,12462,73099,285352,153282,840696,1706997,1693051,96685
2021-05-19 09:00:00+02:00,58476,47832,6951,66299,274577,74356,897103,844803,607851,15564
2021-05-19 10:00:00+02:00,130323,84124,19539,137301,470332,103772,1013577,1468839,1902065,53206
2021-05-19 11:00:00+02:00,134885,64057,22943,115964,514511,112175,614276,1239986,1855434,68151
2021-05-19 12:00:00+02:00,83914,53288,23568,68264,231088,91922,418769,1131308,822707,45006
2021-05-19 13:00:00+02:00,112566,73846,32276,99235,473899,106163,675380,1172549,912742,67240
2021-05-19 14:00:00+02:00,154851,56818,23531,141567,453706,146840,1163104,1066170,808647,71621
2021-05-19 15:00:00+02:00,236145,75422,33107,181872,687224,209420,1250793,1751189,1168578,122103
2021-05-19 16:00:00+02:00,219932,150876,41105,254231,1074633,432061,1338613,4196406,1753683,206318
2021-05-19 17:00:00+02:00,103282,154609,11402,144358,504347,249319,1439934,2617947,1365937,145082
2021-05-20 09:00:00+02:00,26979,47690,7739,51169,97237,42492,257670,979723,1049352,21024
2021-05-20 10:00:00+02:00,78381,51846,14365,106947,371503,132436,981892,2032926,3199955,46332
2021-05-20 11:00:00+02:00,89707,94617,6186,86159,521520,111868,978016,1223113,1635114,38524
2021-05-20 12:00:00+02:00,90292,47653,11789,96556,369229,123442,524717,923668,701856,33719
2021-05-20 13:00:00+02:00,66218,39993,11020,62970,201209,129721,847523,803513,623591,31170
2021-05-20 14:00:00+02:00,91607,63691,6463,68285,264956,131914,800192,809667,1186336,23747
2021-05-20 15:00:00+02:00,147945,78284,7252,96370,205176,164536,861237,1623511,1037461,65059
2021-05-20 16:00:00+02:00,202179,88058,10806,88707,347746,194295,1425131,1667833,826116,60467
2021-05-20 17:00:00+02:00,198779,86271,12642,101387,200168,183979,1233880,1615244,1237275,45945
2021-05-21 09:00:00+02:00,68404,32141,6014,41730,137044,106555,254694,639671,325628,23206
2021-05-21 10:00:00+02:00,210507,52631,8156,86691,296086,199735,1020041,1341666,718531,44298
2021-05-21 11:00:00+02:00,135955,132274,8616,210806,652757,300380,1048804,1775506,778446,44317
