1COV.DE_Open,ADS.DE_Open,AIR.DE_Open,ALV.DE_Open,BAS.DE_Open,BMW.DE_Open,CBK.DE_Open,DTE_Open,EOAN.DE_Open,HEI.DE_Open
26,40.9162483215332,15.3999996185303,145.138000488281,15.1981449127197,18.2099990844727,153.814453125,17.0259990692139,14.9389038085938,73.252326965332
26.9500007629395,41.1462516784668,15.3999996185303,143.212997436523,15.0575504302979,18.1900005340576,156.108856201172,16.7600898742676,14.6821184158325,72.4678192138672
26.3449993133545,40.6477508544922,15.3999996185303,142.139007568359,14.9808502197266,18.1609992980957,158.772537231445,16.5659008026123,14.0295791625977,72.4678192138672
26.0650005340576,40.1365013122559,15.3999996185303,141.371994018555,15.108699798584,18.3439998626709,161.435501098633,16.2845897674561,14.5189828872681,69.23681640625
26.4249992370605,40.6349983215332,15.3999996185303,141.371994018555,15.236499786377,18.2049999237061,161.435501098633,16.1669998168945,14.8029594421387,69.23681640625
25.9799995422363,40.0532493591309,15.3999996185303,141.628005981445,15.0012998580933,18.3080005645752,157.747665405273,16.6425895690918,14.8180637359619,69.23681640625
25.5900001525879,40.9032516479492,15.3999996185303,141.985992431641,14.8786001205444,18.3729991912842,158.772537231445,16.8726005554199,15.1020393371582,65.8667907714844
25.1299991607666,39.1137504577637,15.3999996185303,141.985992431641,14.8786001205444,18.4850006103516,158.772537231445,16.7703895568848,15.3920564651489,65.0597152709961
25.3400001525879,38.3470001220703,15.3999996185303,141.985992431641,14.8786001205444,18.4850006103516,158.772537231445,16.8164005279541,15.4947700500488,65.0597152709961
25.3199996948242,37.7077484130859,15.3999996185303,142.139007568359,14.9553003311157,18.3080005645752,158.772537231445,17.2203006744385,15.2712154388428,66.4671325683594
24.4799995422363,36.5572509765625,15.789999961853,142.496994018555,15.0575504302979,18.2299995422363,160.615768432617,16.8726005554199,15.0990180969238,67.3906631469727
25.0100002288818,36.263500213623,15.3999996185303,143.110992431641,15.1214504241943,18.5049991607666,160.042785644531,16.974889755249,14.4102268218994,65.6365814208984
25.2000007629395,36.3017501831055,15.3999996185303,143.110992431641,15.1214504241943,19.0750007629395,160.042785644531,16.7703895568848,14.5310668945313,64.6209716796875
26.2099990844727,37.1324996948242,15.3999996185303,140.093994140625,14.9041500091553,19.2320003509521,157.952819824219,16.7192001342773,14.6005506515503,62.7748107910156
27.3400001525879,38.033748626709,15.3999996185303,140.604995727539,14.6740999221802,19.1550006866455,157.338165283203,16.5300998687744,15.2561101913452,62.7748107910156
27.7900009155273,38.6792488098145,15.3999996185303,142.649993896484,15.2288503646851,19.7240009307861,165.942489624023,16.3868999481201,14.8059797286987,62.3125953674316
27,38.8582496643066,15.3999996185303,139.582992553711,14.8786001205444,19.6849994659424,164.713180541992,16.6425895690918,14.5008573532105,62.3125953674316
28.4950008392334,38.3470001220703,15.3999996185303,139.326995849609,14.5079002380371,20.2350006103516,170.859710693359,16.5146999359131,14.1987562179565,64.6209716796875
28.2950000762939,38.6025009155273,15.3999996185303,138.302001953125,14.3673000335693,20.8449993133545,174.178192138672,16.4636001586914,13.9117603302002,62.8903656005859
27.875,37.5800018310547,15.3999996185303,140.401000976563,14.7890949249268,20.9629993438721,174.751968383789,16.2334995269775,13.6549739837646,63.2361259460449
28.5,37.1964988708496,15.3999996185303,139.582992553711,14.8530502319336,20.1569995880127,172.089019775391,16.1056995391846,13.5492391586304,63.6974411010742
28.3999996185303,36.6725006103516,15.3999996185303,139.123001098633,15.0831003189087,20.4519996643066,171.6787109375,16.2590999603271,13.0356664657593,63.0050163269043
28.0149993896484,34.2565002441406,15.3999996185303,140.195999145508,15.3131999969482,21.0690002441406,172.089019775391,16.4125003814697,12.9903507232666,64.1596603393555
28.3600006103516,32.7227516174316,15.3999996185303,140.350006103516,15.3515501022339,20.8250007629395,175.161468505859,16.2845897674561,12.6852293014526,62.7748107910156
28,31.9557495117188,15.3999996185303,145.180999755859,15.4026498794556,20.6480007171631,178.644165039063,16.5403003692627,12.4314641952515,63.6974411010742
27.7999992370605,31.5722503662109,15.3999996185303,144.848999023438,15.3387498855591,20.0389995574951,180.488189697266,16.5914001464844,12.6882495880127,63.2361259460449
28.2999992370605,33.0422515869141,15.3999996185303,145.156005859375,14.9680500030518,19.80299949646,184.135238647461,16.5606899261475,12.5341777801514,63.2361259460449
30.6100006103516,34.5122489929199,15.3999996185303,146.485000610352,15.0831003189087,20,183.765808105469,16.5606899261475,13.0054559707642,63.2361259460449
30.2000007629395,32.8504981994629,15.3999996185303,146.511001586914,15.3259449005127,20.136999130249,178.644165039063,16.5606899261475,12.8332586288452,62.7748107910156
31.2999992370605,31.8854999542236,16.7000007629395,145.462997436523,15.3055000305176,20.007999420166,177.005355834961,16.5146999359131,13.2924518585205,63.2361259460449
31.6350002288818,30.8052501678467,16.7600002288818,141.628005981445,15.2032499313355,20.2549991607666,178.644165039063,16.5146999359131,13.3226633071899,62.8903656005859
30.6049995422363,30.9969997406006,16.7600002288818,143.468994140625,15.1470003128052,20.6480007171631,177.825241088867,16.4125003814697,13.4012088775635,62.8903656005859
31.5100002288818,30.0319995880127,16.7600002288818,146.22900390625,15.1879501342773,20.7250003814697,174.137329101563,16.4125003814697,13.7153940200806,62.8903656005859
32.0349998474121,30.5944995880127,16.7600002288818,149.195007324219,15.2876501083374,20.7250003814697,173.113174438477,16.1823997497559,14.467625617981,62.8903656005859
32.9000015258789,29.1437492370605,17.3299999237061,158.5,15.2748498916626,20.7250003814697,172.703674316406,16.4125003814697,14.5038776397705,62.8903656005859
