1COV.DE_Close,ADS.DE_Close,AIR.DE_Close,ALV.DE_Close,BAS.DE_Close,BMW.DE_Close,CBK.DE_Close,DTE.DE_Close,EOAN.DE_Close,HEI.DE_Close
26.5,40.7755012512207,15.3999996185303,144.158996582031,15.1725997924805,18.1709995269775,156.108856201172,16.7600898742676,14.606593132019,72.4678192138672
26.3999996185303,40.6477508544922,15.3999996185303,141.526000976563,14.927149772644,18.1219997406006,157.50244140625,16.7600898742676,14.2893857955933,72.4678192138672
25.9799995422363,39.9254989624023,15.3999996185303,140.656005859375,15.1725997924805,18.2590007781982,160.287933349609,16.2898006439209,14.5008573532105,72.4678192138672
26.2000007629395,40.423999786377,15.3999996185303,140.093994140625,15.0575504302979,18.2299995422363,160.001113891602,16.2437000274658,14.7002439498901,69.23681640625
26,39.6315002441406,15.3999996185303,141.473999023437,14.8786001205444,18.2889995574951,157.092147827148,16.5146999359131,14.8029594421387,69.23681640625
25.7000007629395,40.2642517089844,15.3999996185303,141.985992431641,14.8786001205444,18.4379997253418,158.772537231445,16.8215007781982,15.1503753662109,69.23681640625
25.2450008392334,39.369499206543,15.3999996185303,141.985992431641,14.8786001205444,18.4659996032715,158.772537231445,16.8265895843506,15.4373712539673,66.4671325683594
25.2000007629395,38.2957496643066,15.3999996185303,141.985992431641,14.8786001205444,18.5440006256104,158.772537231445,16.744800567627,15.4977912902832,65.0597152709961
25.2000007629395,37.7077484130859,15.3999996185303,141.985992431641,14.8786001205444,18.2509994506836,158.772537231445,17.1231899261475,15.3406991958618,65.0597152709961
24.5,36.461498260498,15.3999996185303,142.037002563477,15.1061000823975,18.2689990997314,159.387191772461,16.8726005554199,14.9540090560913,65.0597152709961
24.75,36.1100006103516,15.3999996185303,143.110992431641,15.1214504241943,18.4130001068115,160.042785644531,16.9186000823975,14.4102268218994,66.6982345581055
25.1000003814697,36.429500579834,15.3999996185303,143.110992431641,15.1214504241943,18.9869995117187,160.042785644531,16.8419990539551,14.3830375671387,64.6209716796875
26,37.0687484741211,15.3999996185303,143.110992431641,15.1214504241943,19.2929992675781,160.042785644531,16.7549991607666,14.5008573532105,65.0822830200195
27.25,37.9507484436035,15.3999996185303,139.27099609375,14.5692501068115,19.1240005493164,156.764373779297,16.7703895568848,15.1896476745605,62.3125953674316
27.1100006103516,38.6792488098145,15.3999996185303,140.604995727539,15.0319995880127,19.6669998168945,163.894180297852,16.2283897399902,14.8029594421387,62.3125953674316
27.0650005340576,38.8582496643066,15.3999996185303,140.401000976563,14.9553003311157,19.6919994354248,165.532989501953,16.5403003692627,14.5914878845215,62.3125953674316
27.9899997711182,38.1679992675781,15.3999996185303,138.712997436523,14.4388999938965,19.992000579834,169.466125488281,16.5862998962402,14.0477056503296,62.3125953674316
28.0249996185303,38.4747505187988,15.3999996185303,138.059005737305,14.3673000335693,21.1580009460449,174.259857177734,16.3665008544922,13.9268646240234,64.3898620605469
27.9950008392334,37.0047492980957,15.3999996185303,139.992004394531,14.3673000335693,21.0279998779297,174.792846679688,16.3612995147705,13.4797554016113,62.8903656005859
28.1000003814697,37.3242492675781,15.3999996185303,138.764999389648,14.720100402832,20.6480007171631,170.654556274414,16.0750007629395,13.5945539474487,63.2361259460449
28.2000007629395,35.8672485351562,15.3999996185303,139.582992553711,15.0831003189087,20.2749996185303,171.6787109375,16.3868999481201,12.9450359344482,63.6974411010742
27.9799995422363,35.7905006408691,15.3999996185303,140.22200012207,15.2058000564575,20.923999786377,171.883865356445,16.3766899108887,12.8574266433716,63.9285507202149
28.1450004577637,32.2625007629395,15.3999996185303,140.350006103516,15.4154500961304,21.0610008239746,175.244018554688,16.3101997375488,12.7124176025391,64.1596603393555
27.9750003814697,30.6774997711182,15.3999996185303,144.542007446289,15.2748498916626,20.4580001831055,177.825241088867,16.4687004089355,12.3891696929932,63.2361259460449
27.8549995422363,31.4060001373291,15.3999996185303,144.848999023438,15.2493000030518,20.2940006256104,179.873550415039,16.550500869751,12.6278295516968,63.2361259460449
28.1800003051758,32.5947494506836,15.3999996185303,144.848999023438,14.9680500030518,19.9599990844727,184.135238647461,16.5606899261475,12.4918842315674,63.2361259460449
28.1849994659424,34.576000213623,15.3999996185303,145.768997192383,14.9680500030518,20.2350006103516,184.135238647461,16.5606899261475,12.8090906143188,63.2361259460449
29.8950004577637,34.576000213623,15.3999996185303,147.251998901367,15.3208503723145,20.0380001068115,178.931137084961,16.5606899261475,12.7486696243286,63.2361259460449
31,32.5309982299805,15.3999996185303,146.996002197266,15.3669004440308,20.0779991149902,178.644165039063,16.5606899261475,13.2924518585205,62.8903656005859
31.2000007629395,31.9557495117188,16.7600002288818,141.679000854492,15.1802501678467,20.1529998779297,178.644165039063,16.5146999359131,13.4706916809082,62.8903656005859
30.4699993133545,31.0097503662109,16.7600002288818,143.774993896484,15.0933504104614,20.5520000457764,179.01286315918,16.4125003814697,13.3861036300659,62.8903656005859
31,29.3992500305176,16.7600002288818,148.270004272461,15.3642997741699,20.7250003814697,175.653518676758,16.4125003814697,13.8785285949707,62.8903656005859
31.7000007629395,29.3992500305176,16.7600002288818,148.505004882813,15.2645998001099,20.7250003814697,172.089019775391,16.4125003814697,14.3498067855835,62.8903656005859
32.1199989318848,29.1372509002686,16.7600002288818,156.582992553711,15.2006998062134,20.7250003814697,172.089019775391,16.3511009216309,14.606593132019,62.8903656005859
32,28.121000289917,17.3299999237061,155.483993530273,15.0703449249268,20.7250003814697,171.556106567383,16.4482898712158,14.4978361129761,62.8903656005859
