1COV.DE_High,ADS.DE_High,AIR.DE_High,ALV.DE_High,BAS.DE_High,BMW.DE_High,CBK.DE_High,DTE.DE_High,EOAN.DE_High,HEI.DE_High
40.2000007629395,164.940002441406,121.980003356934,215.800003051758,46.9799995422363,109.379997253418,10.0150003433228,21.3799991607666,12.1300001144409,70.0999984741211
40.189998626709,164.679992675781,122.419998168945,216.350006103516,46.8849983215332,109.300003051758,10.1000003814697,21.3649997711182,12.1850004196167,69.8600006103516
40.1399993896484,164.899993896484,122.660003662109,216.550003051758,46.9700012207031,109.419998168945,10.1149997711182,21.2999992370605,12.1949996948242,69.8000030517578
40.0900001525879,165.559997558594,122.580001831055,216.699996948242,46.9500007629395,109.480003356934,10.1000003814697,21.2999992370605,12.1949996948242,69.6800003051758
40.060001373291,166.059997558594,122.400001525879,216.5,46.9300003051758,109.379997253418,10.1000003814697,21.3400001525879,12.1549997329712,69.5599975585938
40.060001373291,165.360000610352,122.279998779297,216.100006103516,46.9449996948242,109.199996948242,10.0550003051758,21.3400001525879,12.1800003051758,69.5999984741211
39.939998626709,165.179992675781,122.040000915527,215.600006103516,46.8650016784668,108.919998168945,10.039999961853,21.3050003051758,12.1700000762939,69.5800018310547
39.9000015258789,165.139999389648,122,216,46.8050003051758,109.160003662109,10.0600004196167,21.2950000762939,12.1700000762939,69.6399993896484
39.8400001525879,164.899993896484,122.160003662109,215.899993896484,46.7649993896484,109.23999786377,10.0749998092651,21.2749996185303,12.164999961853,69.6800003051758
39.8400001525879,165.100006103516,122.199996948242,215.800003051758,46.7099990844727,109.120002746582,10.0649995803833,21.2800006866455,12.1099996566772,69.6999969482422
39.9099998474121,165.5,122.220001220703,215.649993896484,46.7000007629395,109.099998474121,10.0799999237061,21.2549991607666,12.1000003814697,69.6800003051758
39.9599990844727,165.779998779297,122.279998779297,215.649993896484,46.810001373291,109.220001220703,10.085000038147,21.2849998474121,12.0799999237061,69.7200012207031
39.9199981689453,165.660003662109,122.23999786377,215.449996948242,46.8300018310547,109.300003051758,10.0699996948242,21.2849998474121,12.0950002670288,69.6800003051758
39.939998626709,164.619995117188,122.220001220703,215.550003051758,46.814998626709,109.199996948242,10.039999961853,21.2900009155273,12.1199998855591,69.7600021362305
40.0099983215332,164.899993896484,122.040000915527,215.5,46.9199981689453,109.059997558594,10.0699996948242,21.2900009155273,12.125,69.8000030517578
40.0499992370605,164.880004882813,122.220001220703,215.300003051758,46.9500007629395,109.080001831055,10.0649995803833,21.2900009155273,12.1149997711182,69.8399963378906
40.0499992370605,164.779998779297,122.23999786377,215.350006103516,47.0250015258789,109,10.0550003051758,21.2950000762939,12.1199998855591,69.9400024414063
39.9700012207031,164.880004882813,122.099998474121,215.350006103516,47.0750007629395,109.019996643066,10.039999961853,21.2950000762939,12.125,69.9199981689453
39.9000015258789,164.880004882813,122.139999389648,215.25,47.0999984741211,109.059997558594,10.0349998474121,21.2950000762939,12.1300001144409,69.9800033569336
39.9000015258789,164.720001220703,122.23999786377,215.149993896484,47.1049995422363,109.040000915527,10.0500001907349,21.2900009155273,12.1400003433228,69.9400024414063
39.9099998474121,164.800003051758,122.279998779297,215.050003051758,47.1199989318848,109.019996643066,10.0299997329712,21.2900009155273,12.1499996185303,69.8399963378906
39.9599990844727,164.759994506836,122.23999786377,214.899993896484,47.1150016784668,109,10.039999961853,21.3050003051758,12.1599998474121,69.8600006103516
39.9300003051758,164.559997558594,122.339996337891,214.899993896484,47.064998626709,108.919998168945,10.0200004577637,21.3150005340576,12.1599998474121,69.8399963378906
39.939998626709,164.580001831055,122.440002441406,215,47.0550003051758,108.959999084473,10.0200004577637,21.3199996948242,12.1700000762939,69.8600006103516
39.9500007629395,164.520004272461,122.540000915527,215,47.0499992370606,108.940002441406,10.039999961853,21.3400001525879,12.164999961853,69.8399963378906
39.939998626709,164.479995727539,122.5,215.149993896484,47.1500015258789,108.919998168945,10.039999961853,21.3449993133545,12.1700000762939,69.7799987792969
39.8899993896484,164.639999389648,122.580001831055,215.050003051758,47.1500015258789,108.900001525879,10.0550003051758,21.3349990844727,12.1750001907349,69.7200012207031
39.8499984741211,164.520004272461,122.620002746582,215.050003051758,47.1800003051758,108.900001525879,10.0550003051758,21.3349990844727,12.1800003051758,69.7600021362305
39.8699989318848,164.580001831055,122.599998474121,215.100006103516,47.189998626709,108.940002441406,10.0500001907349,21.3449993133545,12.1800003051758,69.6999969482422
39.9099998474121,164.740005493164,122.580001831055,215.149993896484,47.189998626709,108.919998168945,10.0299997329712,21.3449993133545,12.2049999237061,69.6399993896484
39.9000015258789,164.699996948242,122.480003356934,215.199996948242,47.1599998474121,108.819999694824,10.0299997329712,21.3349990844727,12.2349996566772,69.6399993896484
39.8899993896484,164.660003662109,122.480003356934,215.300003051758,47.1150016784668,108.639999389648,10.0100002288818,21.329999923706,12.2299995422363,69.6399993896484
39.9000015258789,164.619995117188,122.339996337891,215.600006103516,47.1100006103516,108.540000915527,10.0100002288818,21.3250007629395,12.1999998092651,69.5800018310547
39.9000015258789,164.479995727539,122.360000610352,215.600006103516,47.1300010681152,108.519996643066,10.0100002288818,21.3099994659424,12.1700000762939,69.5999984741211
39.8800010681152,164.440002441406,122.519996643066,215.600006103516,47.1300010681152,108.480003356934,10.0100002288818,21.3199996948242,12.1350002288818,69.5999984741211
39.8899993896484,164.479995727539,122.519996643066,215.550003051758,47.1150016784668,108.459999084473,10.0100002288818,21.3150005340576,12.1199998855591,69.6600036621094
