1COV.DE_Volume,ADS.DE_Volume,AIR.DE_Volume,ALV.DE_Volume,BAS.DE_Volume,BMW.DE_Volume,CBK.DE_Volume,DTE.DE_Volume,EOAN.DE_Volume,HEI.DE_Volume
361,195,526,351,1063,56,6926,1440,12360,399
512,444,85,514,600,853,1383,1330,1119,230
399,80,86,99,1083,482,336,244,6979,5253
948,143,121,874,1024,373,1411,108,3385,1055
5019,15,43,246,2940,344,1249,1428,11204,12493
502,113,78,739,591,591,459,1422,10464,1747
265,191,514,840,371,2078,2089,1448,10222,2792
700,164,43,11,25185,354,3998,255,2276,3231
800,14,84,345,726,61,1856,1241,120,1971
157,33,288,310,23,1199,488,3997,1200,2604
1937,35,435,1048,247,66,1564,790,13109,1100
1128,83,33,48,788,470,1016,25,17218,377
221,33,171,142,562,108,4251,95,300,437
901,28,10,1,2759,1413,8,11974,26552,1134
1122,194,1876,467,614,435,7319,3607,5237,289
798,226,43,722,282,126,8909,3422,2034,848
8,53,227,485,217,692,141,11937,20404,468
593,179,30,990,113,858,863,1638,31076,99
2369,71,120,127,262,302,1343,2444,8141,365
170,59,46,7233,1612,489,3657,500,16172,539
66,14,43,342,2264,288,5571,3202,5097,31
220,77,48,99,1060,367,4591,2337,3189,1014
511,1297,54,242,6502,155,5940,2711,4566,292
285,143,43,22,2589,2040,3526,819,144917,489
444,100,47,1152,124,163,2770,779,35973,1457
910,87,86,1574,230,1062,709,25921,16936,849
65,241,86,1674,2103,3416,835,7597,10273,381
255,65,140,383,559,701,22124,9354,45872,111
126,172,1521,1604,121,420,1087,644,4053,1916
317,126,267,437,300,1855,9897,432,14522,15
707,379,574,1773,830,601,282,569,21287,310
31,251,390,5804,5687,210,4084,4585,29563,19
59,31,143,779,3076,49,2654,432,10763,48
99,123,111,209,760,320,1908,11343,68244,795
542,81,157,195,187,420,9789,1670,37412,485
1129,265,316,38,156,1075,275,4180,46593,330
221,167,43,74,564,578,772,1824,27585,902
1510,272,229,598,736,907,0,3256,13321,507
104,157,73,1000,483,265,1995292,4723,605,410
721,99,56,231,573,100,4510,5586,7401,248
3,270,70,1315,880,607,9360,950,37285,204
223,100,148,196,2885,591,2822,3265,2629,146
288,231,43,679,2469,2773,3468,1470,3116,123
244,51,104,728,2040,257,482,4271,3396,272
75,174,80,3468,586,8,16667,1640,1100,332
355,13,78,915,1621,816,13728,1794,14705,276
205,79,159,531,569,143,5324,3385,6913,16
340,64,34,1784,2420,2577,3746,952,3243,236
3,30,20,2576,635,125,27893,84817,13253,1720
10,74,84,98,639,2511,4291,7732,2167,30
2,156,125,616,4928,1527,1711,7163,1953,74
371,10,20,71,670,1603,17047,9643,4656,1715
498,186,83,3434,760,1020,768,2174,1096,524
178,296,137,308,4325,554,10878,1887,457,163
2182,3,83,68,1989,1191,5502,7508,1050,119
2483,73,93,100,4805,510,1019,13748,4074,319
6114,265,126,79,215,1930,4248,1604,3792,1028
112,148,3,258,12,7305,1680,148,1072,1346
269,500,53,244,2225,108,4334,398,8560,197
156,409,43,615,216,436,4410,5115,19223,343
124,38,1,808,1139,520,1814,5617,1506,100
700,157,93,150,607,737,4729,60,1006,1237
3686,5,118,93,530,204,1897,614,50935,686
280,100,1029,1132,346,1542,510,470,759,766
16642,58,365,3786,433,12452,1942,1206,27457,197
9,43,195,288,583,582,5640,4931,36525,59
949,1000,387,321,504,654,3435,47,38933,386
810,170,1355,10119,5901,1285,316,9932,836,501
1204,575,214,174,187,578,10418,38198,6764,112
157,89,199,108,1723,12,9235,384,10917,568
349,147,100,167,326,770,1250,59,237,69
840,64,533,48,194,282,4744,539,250,1120
1959,50,1188,160,4245,546,4071,36105,9690,57
440,49,200,1144,138,322,1973,5037,813,1224
131,113,298,132,262,210,12541,117,11916,161
271,424,180,2397,272,145,9,7694,3542,851
2308,275,7,2020,175,252,4223,28680,100,374
152,13,288,5,567,316,18,1075,1139,580
714,56,535,4071,5390,493,651,57,21,19
719,264,796,55,2608,218,1059,9514,13616,1604
96,306,192,459,1505,126,6743,10748,15488,306
6,16,187,3,614,64,840,5611,10753,320
71,71,1726,126,301,997,2000,1838,7446,180
1652,25,399,506,10130,2854,1927,1500,5997,534
144,225,770,103,1587,13,11321,9966,11036,228
63,69,189,650,185,322,3023,100,1085,301
619,3,49,280,28100,388,8322,37,1378,175
740,98,1,121,2742,161,1348,5821,5799,155
1440,62,165,73,4847,80,600,25177,22625,85
162,130,603,15,7281,30,973,799,5218,1733
10,221,1723,880,840,740,4760,4743,292,143
689,97,294,50,4792,22,10061,1485,6723,104
190,83,44,121,1323,881,279,3155,12680,2734
809,1,247,804,32,269,10756,4684,2754,341
104,111,162,365,111,142,7728,370,4493,304
2962,38,79,7551,2129,39,1884,55,47,88
1219,172,178,742,1104,336,10430,14367,8227,206
523,45,530,400,527,1,2348,2200,63341,199
28,77,75,523,24,50,1123,19052,9568,205
36,110,134,396,651,1399,7566,3602,714,112
1025,62,239,4644,510,1210,15671,6804,1427,179
134,30,2144,148,200,1,26457,50,1897,391
209,125,1053,362,374,729,2670,75,29427,35
300,30,575,1539,6942,2095,16806,16485,2154,81
317,64,182,287,7226,112,2474,2171,4031,45
557,103,74,236,1403,1123,3413,6652,4838,647
8,311,55,109,2207,308,100,799,559,250
689,150,1601,288,6361,1207,601,13889,24133,588
242,75,1507,27,6566,1047,5700,1508,13235,116
6,44,924,853,19288,81,5779,1453,236,403
813,68,232,3617,613,4480,608,2935,3223,420
10421,222,143,1783,789,1147,1000,6691,9949,2458
522,13,410,4150,910,1811,12377,4010,7162,318
3902,152,781,1948,1554,595,6334,467,1127,315
2368,120,167,640,18071,286,11552,1455,25735,1
350,277,10,250,3936,295,21220,1993,5510,6010
4198,174,91,406,805,70,3337,156,554,1036
231,174,627,338,1373,294,4671,1334,3485,361
96,2,148,1415,1277,91,7170,7178,39543,487
3486,10,417,92,4012,350,1560,12709,1120,1236
2002,100,1320,829,2250,466,1037,164,4921,257
434,68,95,752,6905,95,930,8882,500,139
526,134,320,975,1346,1289,1143,4515,16751,48
1209,1,1223,1500,1524,260,100,7222,3000,768
853,131,160,1004,4193,372,2623,3278,16682,93
858,44,347,76,5172,325,27439,8324,16866,90
3434,1,751,642,1279,395,4512,6527,6001,59
855,108,877,502,8849,196,4144,4812,2858,46
425,359,160,423,2277,831,1053,233,4072,91
2832,406,396,394,1974,446,795,7351,2081,58
4725,67,109,1505,2919,3178,43124,3017,40,42
1210,854,145,428,1053,236,14002,1449,26349,292
4681,3,51,441,3008,1472,10994,13081,7191,609
277,64,1150,1103,2763,326,6698,2332,3082,126
387,556,4,2528,2977,976,1414,10912,5098,1278
27,55,63,321,3917,629,572,752,17364,144
2497,103,89,1304,3187,308,6453,12910,825,331
4784,99,45,2,114,992,12551,1912,27454,582
181,538,384,1207,3267,822,13410,921,15389,157
1646,22,358,363,564,416,613,2013,5303,357
840,533,904,683,1421,751,8179,300,51795,118
159,110,47,32,1014,4,85,496,25963,808
74,68,361,173,5092,270,1262,6,1230,150
395,131,1040,459,198,1487,100,97,2217,38
6073,34,317,422,738,9579,4853,1954,6449,39
396,250,10,1157,934,348,792,29081,1248,22
655,31,67,350,11790,990,9978,5770,9835,76
122,325,131,346,2862,219,366,17387,5973,361
1483,618,104,659,1341,222,9402,7758,101704,256
1732,106,51,539,1282,320,1081,5993,9948,483
1100,159,209,375,114,801,1047,6639,502,25
543,17,10,14,3218,375,1081,1147,6701,268
41,135,110,624,1213,489,309,1144,104566,222
197,765,63,21,1904,102,9428,6187,1230,246
6207,131,431,80,1232,75,42620,6321,752,172
1073,70,150,309,2191,20,3417,11104,1114,809
144,462,48,432,1442,727,8387,895,4651,84
955,219,229,552,2444,398,1422,2757,1250,135
697,77,567,720,2816,207,2466,3627,137605,572
212,114,423,307,3178,566,12642,780,6291,339
1465,410,652,78,1459,1432,1125,146,1509,53
203,1625,43,394,11906,206,1541,18337,17481,781
182,450,1080,927,1470,220,608,8173,29066,1635
141,165,226,359,176,212,372,35722,5955,464
52,34,0,208,1265,238,662,3413,1686,345
368,12,107132,260,703,155,6491,1092,70,290
216,60,31,93,2901,329,12920,2749,5269,210
43,4006,110,70,197,740,1257,3551,5208,105
185,1130,294,199,1897,569,3305,7848,5850,609
0,143,36,1031,1172,101,16273,6381,2589,331
291079,430,52,687,597,216,1186,1459,3339,7054
498,13,301,142,1776,343,4453,2439,6109,2709
1736,38,1123,3197,233,137,39453,275,7310,292
801,148,329,3103,3338,1154,52714,8136,3022,79
3,1053,150,161,3257,70,11268,52870,3535,232
1015,627,0,827,1467,102,10853,7763,10845,1191
323,76,109918,919,754,213,9831,1221,12715,247
1454,256,61,28,702,209,16887,14095,23931,42
5027,145,59,55,542,420,111139,4636,14117,190
487,493,585,190,146,629,1801,898,4002,291
1112,267,11,468,1426,293,3406,4907,1664,101
2407,31,11,4687,285,346,8298,1996,47134,57
142,292,34,1292,586,715,2595,6505,3085,6229
91,113,87,1317,262,1676,501,6124,1169,1542
3768,114,62,1644,1383,832,11621,6361,1520,318
424,493,299,1290,1006,353,4980,580,392,14
2084,783,17,487,724,96,13210,882,19331,647
3796,194,10,151,636,1537,1955,1505,3414,1304
204,563,646,1926,4868,2485,591,867,10616,540
1253,353,119,251,73,1700,1121,385,400,216
131,56,202,301,4407,6383,8822,28792,100,817
355,1164,131,739,22891,4101,20199,2608,4093,33
659,46,3,26,21540,1275,31729,907,37034,1174
195,37,3,139,6524,1383,1307,9961,0,845
201,504,142,1249,4878,923,500,1045,3994546,175
712,111,211,301,2782,612,4061,3968,10424,30
300,672,4,2028,8613,3910,2951,9466,10356,394
522,41,262,338,1407,330,7568,12046,1873,539
250,50,112,923,576,543,4257,1335,7187,151
68,177,464,812,4641,326,340,451,9000,382
325,26,280,710,4435,2121,1347,113,942,19
324,4,481,285,823,2286,4283,3420,16479,358
1,237,11409,933,9337,1535,63,2706,10464,165
173,67,273,2,2787,1428,1375,5864,5000,151
