acc,light,moderate-vigorous,sedentary,sleep,MET
19.883,0,0,1,0,1.56349206349206
15.952,0,0,1,0,1.56349206349206
15.324,0,0,1,0,1.56349206349206
9.226,0,0,1,0,1.56349206349206
3.216,0,0,1,0,1.56349206349206
2.956,0,0,1,0,1.56349206349206
32.559,0,0,1,0,1.56349206349206
37.722,0,0,1,0,1.56349206349206
59.54,0,0,1,0,1.56349206349206
26.314,0,0,1,0,1.56349206349206
13.12,0,0,1,0,1.56349206349206
12.696,0,0,1,0,1.56349206349206
12.805,0,0,1,0,1.56349206349206
1.68,0,0,1,0,1.56349206349206
7.339,0,0,1,0,1.56349206349206
46.673,0,0,1,0,1.56349206349206
64.255,0,0,1,0,1.56349206349206
67.607,0,0,1,0,1.56349206349206
49.419,0,0,1,0,1.56349206349206
61.439,0,0,1,0,1.56349206349206
19.57,0,0,1,0,1.56349206349206
8.493,0,0,1,0,1.56349206349206
3.576,0,0,1,0,1.56349206349206
5.047,0,0,1,0,1.56349206349206
2.118,0,0,1,0,1.56349206349206
4.502,0,0,1,0,1.56349206349206
6.227,0,0,1,0,1.56349206349206
6.082,0,0,1,0,1.56349206349206
4.865,0,0,1,0,1.56349206349206
6.953,0,0,1,0,1.56349206349206
5.435,0,0,1,0,1.56349206349206
6.339,0,0,1,0,1.56349206349206
11.496,0,0,1,0,1.56349206349206
8.018,0,0,1,0,1.56349206349206
7.807,0,0,1,0,1.56349206349206
5.328,0,0,1,0,1.56349206349206
9.202,0,0,1,0,1.56349206349206
8.967,0,0,1,0,1.56349206349206
5.636,0,0,1,0,1.56349206349206
6.549,0,0,1,0,1.56349206349206
2.944,0,0,1,0,1.56349206349206
2.099,0,0,1,0,1.56349206349206
9.602,0,0,1,0,1.56349206349206
7.992,0,0,1,0,1.56349206349206
5.317,0,0,1,0,1.56349206349206
61.887,1,0,0,0,2.27083333333333
86.202,1,0,0,0,2.27083333333333
97.982,1,0,0,0,2.27083333333333
58.957,1,0,0,0,2.27083333333333
58.188,1,0,0,0,2.27083333333333
84.676,1,0,0,0,2.27083333333333
118.366,1,0,0,0,2.27083333333333
63.55,1,0,0,0,2.27083333333333
78.722,1,0,0,0,2.27083333333333
8.855,1,0,0,0,2.27083333333333
46.368,1,0,0,0,2.27083333333333
209.906,1,0,0,0,2.27083333333333
105.576,1,0,0,0,2.27083333333333
114.601,1,0,0,0,2.27083333333333
157.213,1,0,0,0,2.27083333333333
147.436,1,0,0,0,2.27083333333333
205.236,1,0,0,0,2.27083333333333
63.832,1,0,0,0,2.27083333333333
61.724,1,0,0,0,2.27083333333333
112.625,1,0,0,0,2.27083333333333
67.448,1,0,0,0,2.27083333333333
38.777,1,0,0,0,2.27083333333333
109.928,1,0,0,0,2.27083333333333
17.65,1,0,0,0,2.27083333333333
41.133,1,0,0,0,2.27083333333333
47.314,1,0,0,0,2.27083333333333
56.108,1,0,0,0,2.27083333333333
70.441,1,0,0,0,2.27083333333333
17.381,1,0,0,0,2.27083333333333
25.4,1,0,0,0,2.27083333333333
41.62,1,0,0,0,2.27083333333333
34.595,1,0,0,0,2.27083333333333
92.216,1,0,0,0,2.27083333333333
48.298,1,0,0,0,2.27083333333333
18.662,1,0,0,0,2.27083333333333
21.893,1,0,0,0,2.27083333333333
12.274,1,0,0,0,2.27083333333333
16.061,1,0,0,0,2.27083333333333
20.366,1,0,0,0,2.27083333333333
16.873,0,0,1,0,1.56349206349206
22.103,0,0,1,0,1.56349206349206
25.075,0,0,1,0,1.56349206349206
13.147,0,0,1,0,1.56349206349206
15.58,0,0,1,0,1.56349206349206
21.277,0,0,1,0,1.56349206349206
17.553,0,0,1,0,1.56349206349206
21.775,0,0,1,0,1.56349206349206
17.045,0,0,1,0,1.56349206349206
16.999,0,0,1,0,1.56349206349206
26.681,0,0,1,0,1.56349206349206
17.842,0,0,1,0,1.56349206349206
