acc,light,moderate-vigorous,sedentary,sleep,MET
44.524,0,0,1,0,1.56349206349206
55.459,0,0,1,0,1.56349206349206
43.058,0,0,1,0,1.56349206349206
30.438,0,0,1,0,1.56349206349206
51.459,0,0,1,0,1.56349206349206
30.669,0,0,1,0,1.56349206349206
37.445,0,0,1,0,1.56349206349206
31.137,0,0,1,0,1.56349206349206
42.589,0,0,1,0,1.56349206349206
34.525,0,0,1,0,1.56349206349206
36.705,0,0,1,0,1.56349206349206
53.049,0,0,1,0,1.56349206349206
37.272,0,0,1,0,1.56349206349206
32.363,0,0,1,0,1.56349206349206
32.708,0,0,1,0,1.56349206349206
31.688,0,0,1,0,1.56349206349206
31.011,0,0,1,0,1.56349206349206
25.304,0,0,1,0,1.56349206349206
29.854,0,0,1,0,1.56349206349206
35.564,0,0,1,0,1.56349206349206
27.33,0,0,1,0,1.56349206349206
26.622,0,0,1,0,1.56349206349206
20.535,0,0,1,0,1.56349206349206
25.099,0,0,1,0,1.56349206349206
18.579,0,0,1,0,1.56349206349206
31.301,0,0,1,0,1.56349206349206
32.917,0,0,1,0,1.56349206349206
21.973,0,0,1,0,1.56349206349206
32.399,0,0,1,0,1.56349206349206
25.052,0,0,1,0,1.56349206349206
24.291,0,0,1,0,1.56349206349206
36.855,0,0,1,0,1.56349206349206
43.89,0,0,1,0,1.56349206349206
26.932,0,0,1,0,1.56349206349206
24.614,0,0,1,0,1.56349206349206
39.591,0,0,1,0,1.56349206349206
32.739,0,0,1,0,1.56349206349206
31.596,0,0,1,0,1.56349206349206
25.831,0,0,1,0,1.56349206349206
24.653,0,0,1,0,1.56349206349206
26.187,0,0,1,0,1.56349206349206
33.981,0,0,1,0,1.56349206349206
36.672,0,0,1,0,1.56349206349206
42.044,0,0,1,0,1.56349206349206
32.702,0,0,1,0,1.56349206349206
41.548,0,0,1,0,1.56349206349206
43.934,0,0,1,0,1.56349206349206
46.972,0,0,1,0,1.56349206349206
53.162,0,0,1,0,1.56349206349206
40.121,0,0,1,0,1.56349206349206
40.362,0,0,1,0,1.56349206349206
24.092,0,0,1,0,1.56349206349206
