,,,,,,,,,
,27.541,1.893,22.638,10.913,0.001,0.765,1.635,2.629,0.615
,45.583,2.224,5.858,55.782,0,1.097,0.965,2.646,4.424
,11.293,3.827,9.6,42.011,0,1.078,1.11,2.771,5.163
,4.928,7.262,9.362,7.49,0.001,1.585,0.832,2.655,5.008
,2.223,0.493,10.094,7.769,0,1.91,3.364,2.567,4.866
,2.904,9.859,9.006,7.869,0,3.1,8.215,2.557,4.924
,1.5,5.536,10.563,7.854,0.001,3.384,3.16,2.676,4.063
,40.904,3.768,7.012,7.824,0.023,0.825,0.813,2.555,2.202
,21.058,4.739,4.589,7.214,0.046,1.627,1.303,2.48,3.392
,22.319,8.958,5.81,7.094,0,3.207,4.703,2.491,2.063
,22.177,2.411,3.964,7.2,0,4.604,1.017,2.433,3.503
,5.829,9.921,3.163,7.786,0.031,3.067,1.639,2.503,3.337
,63.335,4.454,5.142,8.405,0.003,5.874,2.506,2.426,2.689
,17.345,2.925,11.516,8.774,0.001,2.716,1.158,2.536,1.63
,12.819,7.161,8.61,8.06,0.01,2.665,1.211,2.65,2.653
,7.574,7.73,6.061,7.746,0.001,2.535,1.308,2.564,2.062
,19.631,49.631,2.315,7.782,0.008,3.116,0.75,2.599,2.287
,44.599,7.387,4.877,7.785,0.03,3.126,1.868,2.65,2.2
,46.241,6.845,2.923,8.065,0,3.232,1.971,2.649,2.306
,17.164,11.302,12.959,8.24,0.003,3.564,1.625,2.626,3.394
,21.111,7.51,21.983,8.879,0,26.362,1.713,2.645,13.842
,43.763,3.649,18.91,7.271,0.001,0.432,1.789,2.504,1.297
,32.178,0.851,15.617,7.881,0,0.346,0.995,2.669,1.064
,42.53,3.709,74.52,7.857,0.004,0.077,1.309,2.547,0.835
,43.698,2.665,3.959,8.264,0,24.903,1.59,2.73,0.057
,34.392,3.735,74.284,8.226,0,1.204,2.113,3.043,0.053
,54.548,2.9,39.602,7.945,0.003,0.298,2.298,2.966,0.078
,43.956,11.122,22.381,7.446,0.012,0.604,2.514,2.953,0.075
,3.699,3.377,13.884,8.574,0.004,0.279,2.583,2.85,0.098
,21.742,1.552,18.1,8.385,0.143,0.628,2.429,2.894,0.234
,16.1,9.25,14.747,8.436,0.003,1,3.368,2.948,0.266
,48.432,10.602,20.449,8.45,0,1.844,3.485,2.981,0.372
,44.536,15.101,33.059,8.38,0,1.434,3.236,2.96,0.446
,65.872,7.048,20.43,8.329,0.001,1.248,3.485,8.476,0.503
,33.943,8.617,25.072,8.071,0.001,1.336,3.557,0.001,0.49
,15.56,5.116,8.571,4.179,0.002,1.175,2.603,0.005,0.475
,41.427,7.997,12.73,5.451,0,1.139,4.628,0.015,0.4
,32.913,1.306,15.776,5.86,0,0.737,4.324,0.038,2.193
,44.539,1.398,30.745,5.387,0,0.27,4.991,0.043,0.867
,71.116,42.143,8.97,5.122,0.003,0.154,3.405,0.053,0.584
,99.39,2.363,11.516,5.121,0.002,0.827,3.429,0.057,0.486
,71.74,3.646,11.151,4.972,0,1.732,3.858,0.017,0.392
,74.985,17.717,8.515,5.145,0.001,1.232,2.654,0.012,0.34
,62.931,0.147,13.096,5.187,0,1.117,5.264,0.037,0.306
,71.057,0.652,16.651,7.289,0,1.183,4.97,0.045,3.382
,13.82,1.917,13.247,7.582,0,0.99,2.139,0.023,1.555
,0.828,20.361,17.737,7.71,0.001,0.96,1.371,0.029,1.667
,0.151,2.411,19.878,7.729,0.001,0.922,2.911,0.041,1.558
,0.285,3.325,12.121,7.52,0.001,0.96,2.897,0.03,1.725
,0.847,4.504,5.216,7.665,0.001,0.99,1.6,0.036,1.862
,0.914,10.774,4.937,7.875,0,0.925,1.6,0.091,1.773
,0.661,2.737,4.93,8.004,0.001,0.787,1.251,0.069,1.489
,0.59,1.889,3.999,7.894,0.001,0.784,1.295,0.112,1.574
,0.974,1.091,8.882,8.082,0,0.791,1.124,0.108,1.692
,0.6,0.87,3.525,8.1,0.002,0.82,1.735,0.179,9.422
,2.862,0.955,1.154,8.12,0.001,0.675,1.172,0.173,1.669
,5.185,1.874,9.871,8.09,0.004,0.521,0.774,0.178,1.462
,4.263,3.795,9.157,8.272,0.007,0.337,0.637,0.173,1.379
,12.926,3.689,2.838,8.375,52.453,0.339,6.151,0.139,1.435
,1.227,3.691,6.827,8.32,40.54,0.336,2.069,0.153,1.285
,2.275,3.518,33.503,8.334,49.496,0.36,3.468,0.158,1.366
,2.695,3.232,14.149,8.197,66.559,3.451,6.648,0.153,2.212
,1.472,3.004,15.036,8.327,105.881,1.283,2.169,0.147,1.83
,2.672,2.939,18.694,8.342,6.148,0.789,4.919,0.171,1.696
,7.366,2.826,22.095,8.267,2.264,1.016,7.873,0.158,1.851
,5.235,2.486,35.352,8.379,3.194,0.695,0.437,0.152,2.123
,1.969,2.518,14.086,8.312,2.887,0.597,0.401,0.144,1.683
,1.108,2.212,12.399,8.287,2.703,0.64,0.822,0.126,1.722
