time,acc,light,moderate-vigorous,sedentary,sleep,MET
2014-11-01 10:39:36.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:40:06.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:40:36.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:41:06.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:41:36.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:42:06.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:42:36.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:43:06.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:43:36.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:44:06.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:44:36.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:45:06.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:45:36.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:46:06.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:46:36.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:47:06.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:47:36.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:48:06.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:48:36.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:49:06.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:49:36.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:50:06.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:50:36.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:51:06.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:51:36.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:52:06.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:52:36.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:53:06.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:53:36.604000+0000 [Europe/London],19.935,1,0,0,0,2.27083333333333
2014-11-01 10:54:06.604000+0000 [Europe/London],64.54,1,0,0,0,2.27083333333333
2014-11-01 10:54:36.604000+0000 [Europe/London],36.258,1,0,0,0,2.27083333333333
2014-11-01 10:55:06.604000+0000 [Europe/London],91.035,1,0,0,0,2.27083333333333
2014-11-01 10:55:36.604000+0000 [Europe/London],54.173,1,0,0,0,2.27083333333333
2014-11-01 10:56:06.604000+0000 [Europe/London],93.586,1,0,0,0,2.27083333333333
2014-11-01 10:56:36.604000+0000 [Europe/London],88.487,1,0,0,0,2.27083333333333
2014-11-01 10:57:06.604000+0000 [Europe/London],100.466,1,0,0,0,2.27083333333333
2014-11-01 10:57:36.604000+0000 [Europe/London],125.95,1,0,0,0,2.27083333333333
2014-11-01 10:58:06.604000+0000 [Europe/London],118.972,1,0,0,0,2.27083333333333
2014-11-01 10:58:36.604000+0000 [Europe/London],145.782,1,0,0,0,2.27083333333333
2014-11-01 10:59:06.604000+0000 [Europe/London],148.883,1,0,0,0,2.27083333333333
2014-11-01 10:59:36.604000+0000 [Europe/London],156.792,1,0,0,0,2.27083333333333
2014-11-01 11:00:06.604000+0000 [Europe/London],130.775,1,0,0,0,2.27083333333333
2014-11-01 11:00:36.604000+0000 [Europe/London],127.627,1,0,0,0,2.27083333333333
2014-11-01 11:01:06.604000+0000 [Europe/London],124.282,1,0,0,0,2.27083333333333
2014-11-01 11:01:36.604000+0000 [Europe/London],123.242,1,0,0,0,2.27083333333333
2014-11-01 11:02:06.604000+0000 [Europe/London],122.129,1,0,0,0,2.27083333333333
2014-11-01 11:02:36.604000+0000 [Europe/London],77.348,1,0,0,0,2.27083333333333
2014-11-01 11:03:06.604000+0000 [Europe/London],82.692,1,0,0,0,2.27083333333333
2014-11-01 11:03:36.604000+0000 [Europe/London],140.841,1,0,0,0,2.27083333333333
2014-11-01 11:04:06.604000+0000 [Europe/London],17.244,1,0,0,0,2.27083333333333
2014-11-01 11:04:36.604000+0000 [Europe/London],16.105,1,0,0,0,2.27083333333333
2014-11-01 11:05:06.604000+0000 [Europe/London],18.067,1,0,0,0,2.27083333333333
2014-11-01 11:05:36.604000+0000 [Europe/London],153.517,1,0,0,0,2.27083333333333
2014-11-01 11:06:06.604000+0000 [Europe/London],230.818,1,0,0,0,2.27083333333333
2014-11-01 11:06:36.604000+0000 [Europe/London],122.533,1,0,0,0,2.27083333333333
2014-11-01 11:07:06.604000+0000 [Europe/London],107.96,1,0,0,0,2.27083333333333
2014-11-01 11:07:36.604000+0000 [Europe/London],110.356,1,0,0,0,2.27083333333333
2014-11-01 11:08:06.604000+0000 [Europe/London],197.869,1,0,0,0,2.27083333333333
2014-11-01 11:08:36.604000+0000 [Europe/London],177.536,1,0,0,0,2.27083333333333
2014-11-01 11:09:06.604000+0000 [Europe/London],119.772,1,0,0,0,2.27083333333333
2014-11-01 11:09:36.604000+0000 [Europe/London],98.274,1,0,0,0,2.27083333333333
2014-11-01 11:10:06.604000+0000 [Europe/London],432.444,1,0,0,0,2.27083333333333
2014-11-01 11:10:36.604000+0000 [Europe/London],212.214,1,0,0,0,2.27083333333333
2014-11-01 11:11:06.604000+0000 [Europe/London],166.609,1,0,0,0,2.27083333333333
2014-11-01 11:11:36.604000+0000 [Europe/London],108.855,1,0,0,0,2.27083333333333
2014-11-01 11:12:06.604000+0000 [Europe/London],109.893,1,0,0,0,2.27083333333333
2014-11-01 11:12:36.604000+0000 [Europe/London],86.717,1,0,0,0,2.27083333333333
2014-11-01 11:13:06.604000+0000 [Europe/London],140.524,1,0,0,0,2.27083333333333
2014-11-01 11:13:36.604000+0000 [Europe/London],45.259,1,0,0,0,2.27083333333333
2014-11-01 11:14:06.604000+0000 [Europe/London],41.127,1,0,0,0,2.27083333333333
2014-11-01 11:14:36.604000+0000 [Europe/London],65.775,1,0,0,0,2.27083333333333
2014-11-01 11:15:06.604000+0000 [Europe/London],30.888,1,0,0,0,2.27083333333333
2014-11-01 11:15:36.604000+0000 [Europe/London],66.621,1,0,0,0,2.27083333333333
2014-11-01 11:16:06.604000+0000 [Europe/London],110.304,1,0,0,0,2.27083333333333
2014-11-01 11:16:36.604000+0000 [Europe/London],67.014,1,0,0,0,2.27083333333333
2014-11-01 11:17:06.604000+0000 [Europe/London],29.224,1,0,0,0,2.27083333333333
2014-11-01 11:17:36.604000+0000 [Europe/London],117.935,1,0,0,0,2.27083333333333
2014-11-01 11:18:06.604000+0000 [Europe/London],163.692,1,0,0,0,2.27083333333333
2014-11-01 11:18:36.604000+0000 [Europe/London],278.816,1,0,0,0,2.27083333333333
2014-11-01 11:19:06.604000+0000 [Europe/London],272.765,1,0,0,0,2.27083333333333
2014-11-01 11:19:36.604000+0000 [Europe/London],121.408,1,0,0,0,2.27083333333333
2014-11-01 11:20:06.604000+0000 [Europe/London],82.202,1,0,0,0,2.27083333333333
2014-11-01 11:20:36.604000+0000 [Europe/London],193.354,1,0,0,0,2.27083333333333
2014-11-01 11:21:06.604000+0000 [Europe/London],187.891,1,0,0,0,2.27083333333333
2014-11-01 11:21:36.604000+0000 [Europe/London],169.758,1,0,0,0,2.27083333333333
2014-11-01 11:22:06.604000+0000 [Europe/London],89.208,1,0,0,0,2.27083333333333
2014-11-01 11:22:36.604000+0000 [Europe/London],153.695,1,0,0,0,2.27083333333333
2014-11-01 11:23:06.604000+0000 [Europe/London],81.909,1,0,0,0,2.27083333333333
2014-11-01 11:23:36.604000+0000 [Europe/London],107.567,1,0,0,0,2.27083333333333
2014-11-01 11:24:06.604000+0000 [Europe/London],70.668,1,0,0,0,2.27083333333333
2014-11-01 11:24:36.604000+0000 [Europe/London],180.115,1,0,0,0,2.27083333333333
2014-11-01 11:25:06.604000+0000 [Europe/London],126.113,1,0,0,0,2.27083333333333
2014-11-01 11:25:36.604000+0000 [Europe/London],130.087,1,0,0,0,2.27083333333333
2014-11-01 11:26:06.604000+0000 [Europe/London],86.792,1,0,0,0,2.27083333333333
2014-11-01 11:26:36.604000+0000 [Europe/London],137.838,1,0,0,0,2.27083333333333
2014-11-01 11:27:06.604000+0000 [Europe/London],92.311,1,0,0,0,2.27083333333333
2014-11-01 11:27:36.604000+0000 [Europe/London],217.297,1,0,0,0,2.27083333333333
2014-11-01 11:28:06.604000+0000 [Europe/London],98.256,1,0,0,0,2.27083333333333
2014-11-01 11:28:36.604000+0000 [Europe/London],58.014,1,0,0,0,2.27083333333333
2014-11-01 11:29:06.604000+0000 [Europe/London],124.318,1,0,0,0,2.27083333333333
2014-11-01 11:29:36.604000+0000 [Europe/London],47.042,1,0,0,0,2.27083333333333
2014-11-01 11:30:06.604000+0000 [Europe/London],128.86,1,0,0,0,2.27083333333333
2014-11-01 11:30:36.604000+0000 [Europe/London],152.694,1,0,0,0,2.27083333333333
2014-11-01 11:31:06.604000+0000 [Europe/London],94.674,1,0,0,0,2.27083333333333
2014-11-01 11:31:36.604000+0000 [Europe/London],69.367,1,0,0,0,2.27083333333333
2014-11-01 11:32:06.604000+0000 [Europe/London],75.039,1,0,0,0,2.27083333333333
2014-11-01 11:32:36.604000+0000 [Europe/London],56.899,1,0,0,0,2.27083333333333
2014-11-01 11:33:06.604000+0000 [Europe/London],31.944,1,0,0,0,2.27083333333333
2014-11-01 11:33:36.604000+0000 [Europe/London],44.335,1,0,0,0,2.27083333333333
2014-11-01 11:34:06.604000+0000 [Europe/London],40.853,1,0,0,0,2.27083333333333
2014-11-01 11:34:36.604000+0000 [Europe/London],41.631,1,0,0,0,2.27083333333333
2014-11-01 11:35:06.604000+0000 [Europe/London],33.71,1,0,0,0,2.27083333333333
2014-11-01 11:35:36.604000+0000 [Europe/London],29.894,1,0,0,0,2.27083333333333
2014-11-01 11:36:06.604000+0000 [Europe/London],36.005,1,0,0,0,2.27083333333333
2014-11-01 11:36:36.604000+0000 [Europe/London],18.187,1,0,0,0,2.27083333333333
2014-11-01 11:37:06.604000+0000 [Europe/London],23.713,1,0,0,0,2.27083333333333
2014-11-01 11:37:36.604000+0000 [Europe/London],25.44,1,0,0,0,2.27083333333333
2014-11-01 11:38:06.604000+0000 [Europe/London],31.454,1,0,0,0,2.27083333333333
2014-11-01 11:38:36.604000+0000 [Europe/London],52.552,1,0,0,0,2.27083333333333
2014-11-01 11:39:06.604000+0000 [Europe/London],121.485,1,0,0,0,2.27083333333333
2014-11-01 11:39:36.604000+0000 [Europe/London],175.226,1,0,0,0,2.27083333333333
2014-11-01 11:40:06.604000+0000 [Europe/London],192.818,1,0,0,0,2.27083333333333
2014-11-01 11:40:36.604000+0000 [Europe/London],195.448,1,0,0,0,2.27083333333333
2014-11-01 11:41:06.604000+0000 [Europe/London],220.433,1,0,0,0,2.27083333333333
2014-11-01 11:41:36.604000+0000 [Europe/London],218.391,1,0,0,0,2.27083333333333
2014-11-01 11:42:06.604000+0000 [Europe/London],199.845,1,0,0,0,2.27083333333333
2014-11-01 11:42:36.604000+0000 [Europe/London],123.142,1,0,0,0,2.27083333333333
2014-11-01 11:43:06.604000+0000 [Europe/London],8.016,1,0,0,0,2.27083333333333
2014-11-01 11:43:36.604000+0000 [Europe/London],21.928,1,0,0,0,2.27083333333333
2014-11-01 11:44:06.604000+0000 [Europe/London],63.872,1,0,0,0,2.27083333333333
2014-11-01 11:44:36.604000+0000 [Europe/London],74.05,1,0,0,0,2.27083333333333
2014-11-01 11:45:06.604000+0000 [Europe/London],110.954,1,0,0,0,2.27083333333333
2014-11-01 11:45:36.604000+0000 [Europe/London],144.306,1,0,0,0,2.27083333333333
2014-11-01 11:46:06.604000+0000 [Europe/London],153.744,1,0,0,0,2.27083333333333
2014-11-01 11:46:36.604000+0000 [Europe/London],112.184,1,0,0,0,2.27083333333333
2014-11-01 11:47:06.604000+0000 [Europe/London],93.875,1,0,0,0,2.27083333333333
2014-11-01 11:47:36.604000+0000 [Europe/London],62.296,1,0,0,0,2.27083333333333
2014-11-01 11:48:06.604000+0000 [Europe/London],43.889,1,0,0,0,2.27083333333333
2014-11-01 11:48:36.604000+0000 [Europe/London],16.423,1,0,0,0,2.27083333333333
2014-11-01 11:49:06.604000+0000 [Europe/London],69.955,1,0,0,0,2.27083333333333
2014-11-01 11:49:36.604000+0000 [Europe/London],27.824,1,0,0,0,2.27083333333333
2014-11-01 11:50:06.604000+0000 [Europe/London],58.025,1,0,0,0,2.27083333333333
2014-11-01 11:50:36.604000+0000 [Europe/London],108.285,1,0,0,0,2.27083333333333
2014-11-01 11:51:06.604000+0000 [Europe/London],29.3,1,0,0,0,2.27083333333333
2014-11-01 11:51:36.604000+0000 [Europe/London],77.421,1,0,0,0,2.27083333333333
2014-11-01 11:52:06.604000+0000 [Europe/London],70.201,1,0,0,0,2.27083333333333
2014-11-01 11:52:36.604000+0000 [Europe/London],35.556,1,0,0,0,2.27083333333333
2014-11-01 11:53:06.604000+0000 [Europe/London],7.559,1,0,0,0,2.27083333333333
2014-11-01 11:53:36.604000+0000 [Europe/London],11.357,1,0,0,0,2.27083333333333
2014-11-01 11:54:06.604000+0000 [Europe/London],7.932,1,0,0,0,2.27083333333333
2014-11-01 11:54:36.604000+0000 [Europe/London],18.608,1,0,0,0,2.27083333333333
2014-11-01 11:55:06.604000+0000 [Europe/London],29.39,1,0,0,0,2.27083333333333
2014-11-01 11:55:36.604000+0000 [Europe/London],0.443,1,0,0,0,2.27083333333333
2014-11-01 11:56:06.604000+0000 [Europe/London],0.695,1,0,0,0,2.27083333333333
2014-11-01 11:56:36.604000+0000 [Europe/London],15.724,1,0,0,0,2.27083333333333
2014-11-01 11:57:06.604000+0000 [Europe/London],46.876,1,0,0,0,2.27083333333333
2014-11-01 11:57:36.604000+0000 [Europe/London],70.449,1,0,0,0,2.27083333333333
2014-11-01 11:58:06.604000+0000 [Europe/London],101.18,1,0,0,0,2.27083333333333
2014-11-01 11:58:36.604000+0000 [Europe/London],110.923,1,0,0,0,2.27083333333333
2014-11-01 11:59:06.604000+0000 [Europe/London],70.322,1,0,0,0,2.27083333333333
2014-11-01 11:59:36.604000+0000 [Europe/London],100.969,1,0,0,0,2.27083333333333
2014-11-01 12:00:06.604000+0000 [Europe/London],95.074,1,0,0,0,2.27083333333333
2014-11-01 12:00:36.604000+0000 [Europe/London],163.527,1,0,0,0,2.27083333333333
2014-11-01 12:01:06.604000+0000 [Europe/London],141.272,1,0,0,0,2.27083333333333
2014-11-01 12:01:36.604000+0000 [Europe/London],142.845,1,0,0,0,2.27083333333333
2014-11-01 12:02:06.604000+0000 [Europe/London],146.089,1,0,0,0,2.27083333333333
2014-11-01 12:02:36.604000+0000 [Europe/London],77.609,1,0,0,0,2.27083333333333
2014-11-01 12:03:06.604000+0000 [Europe/London],14.217,1,0,0,0,2.27083333333333
2014-11-01 12:03:36.604000+0000 [Europe/London],36.855,1,0,0,0,2.27083333333333
2014-11-01 12:04:06.604000+0000 [Europe/London],10.82,1,0,0,0,2.27083333333333
2014-11-01 12:04:36.604000+0000 [Europe/London],12.797,1,0,0,0,2.27083333333333
2014-11-01 12:05:06.604000+0000 [Europe/London],11.969,1,0,0,0,2.27083333333333
2014-11-01 12:05:36.604000+0000 [Europe/London],8.266,1,0,0,0,2.27083333333333
2014-11-01 12:06:06.604000+0000 [Europe/London],9.095,1,0,0,0,2.27083333333333
2014-11-01 12:06:36.604000+0000 [Europe/London],8.203,1,0,0,0,2.27083333333333
2014-11-01 12:07:06.604000+0000 [Europe/London],37.929,1,0,0,0,2.27083333333333
2014-11-01 12:07:36.604000+0000 [Europe/London],191.765,1,0,0,0,2.27083333333333
2014-11-01 12:08:06.604000+0000 [Europe/London],127.784,1,0,0,0,2.27083333333333
2014-11-01 12:08:36.604000+0000 [Europe/London],49.066,1,0,0,0,2.27083333333333
2014-11-01 12:09:06.604000+0000 [Europe/London],126.035,1,0,0,0,2.27083333333333
2014-11-01 12:09:36.604000+0000 [Europe/London],125.497,1,0,0,0,2.27083333333333
2014-11-01 12:10:06.604000+0000 [Europe/London],44.536,1,0,0,0,2.27083333333333
2014-11-01 12:10:36.604000+0000 [Europe/London],57.795,1,0,0,0,2.27083333333333
2014-11-01 12:11:06.604000+0000 [Europe/London],49.397,1,0,0,0,2.27083333333333
2014-11-01 12:11:36.604000+0000 [Europe/London],54.204,1,0,0,0,2.27083333333333
2014-11-01 12:12:06.604000+0000 [Europe/London],69.448,1,0,0,0,2.27083333333333
2014-11-01 12:12:36.604000+0000 [Europe/London],24.455,1,0,0,0,2.27083333333333
2014-11-01 12:13:06.604000+0000 [Europe/London],61.453,1,0,0,0,2.27083333333333
2014-11-01 12:13:36.604000+0000 [Europe/London],133.572,0,1,0,0,4.68260869565217
2014-11-01 12:14:06.604000+0000 [Europe/London],200.268,0,1,0,0,4.68260869565217
2014-11-01 12:14:36.604000+0000 [Europe/London],132.025,0,1,0,0,4.68260869565217
2014-11-01 12:15:06.604000+0000 [Europe/London],149.021,0,1,0,0,4.68260869565217
2014-11-01 12:15:36.604000+0000 [Europe/London],136.815,0,1,0,0,4.68260869565217
2014-11-01 12:16:06.604000+0000 [Europe/London],187.752,0,1,0,0,4.68260869565217
2014-11-01 12:16:36.604000+0000 [Europe/London],225.348,0,1,0,0,4.68260869565217
2014-11-01 12:17:06.604000+0000 [Europe/London],223.528,0,1,0,0,4.68260869565217
2014-11-01 12:17:36.604000+0000 [Europe/London],249,0,1,0,0,4.68260869565217
2014-11-01 12:18:06.604000+0000 [Europe/London],224.393,0,1,0,0,4.68260869565217
2014-11-01 12:18:36.604000+0000 [Europe/London],257.534,0,1,0,0,4.68260869565217
2014-11-01 12:19:06.604000+0000 [Europe/London],124.498,1,0,0,0,2.27083333333333
2014-11-01 12:19:36.604000+0000 [Europe/London],14.903,1,0,0,0,2.27083333333333
2014-11-01 12:20:06.604000+0000 [Europe/London],18.806,1,0,0,0,2.27083333333333
2014-11-01 12:20:36.604000+0000 [Europe/London],13.471,1,0,0,0,2.27083333333333
2014-11-01 12:21:06.604000+0000 [Europe/London],28.033,1,0,0,0,2.27083333333333
2014-11-01 12:21:36.604000+0000 [Europe/London],43.761,1,0,0,0,2.27083333333333
2014-11-01 12:22:06.604000+0000 [Europe/London],47.627,1,0,0,0,2.27083333333333
2014-11-01 12:22:36.604000+0000 [Europe/London],42.59,1,0,0,0,2.27083333333333
2014-11-01 12:23:06.604000+0000 [Europe/London],62.066,1,0,0,0,2.27083333333333
2014-11-01 12:23:36.604000+0000 [Europe/London],55.931,1,0,0,0,2.27083333333333
2014-11-01 12:24:06.604000+0000 [Europe/London],48.573,1,0,0,0,2.27083333333333
2014-11-01 12:24:36.604000+0000 [Europe/London],56.126,1,0,0,0,2.27083333333333
2014-11-01 12:25:06.604000+0000 [Europe/London],74.294,1,0,0,0,2.27083333333333
2014-11-01 12:25:36.604000+0000 [Europe/London],107.354,1,0,0,0,2.27083333333333
2014-11-01 12:26:06.604000+0000 [Europe/London],135.328,1,0,0,0,2.27083333333333
2014-11-01 12:26:36.604000+0000 [Europe/London],147.568,1,0,0,0,2.27083333333333
2014-11-01 12:27:06.604000+0000 [Europe/London],59.656,1,0,0,0,2.27083333333333
2014-11-01 12:27:36.604000+0000 [Europe/London],22.249,1,0,0,0,2.27083333333333
2014-11-01 12:28:06.604000+0000 [Europe/London],37.905,1,0,0,0,2.27083333333333
2014-11-01 12:28:36.604000+0000 [Europe/London],80.111,1,0,0,0,2.27083333333333
2014-11-01 12:29:06.604000+0000 [Europe/London],67.5,1,0,0,0,2.27083333333333
2014-11-01 12:29:36.604000+0000 [Europe/London],1.484,0,0,1,0,1.56349206349206
2014-11-01 12:30:06.604000+0000 [Europe/London],4.666,0,0,1,0,1.56349206349206
2014-11-01 12:30:36.604000+0000 [Europe/London],15.583,0,0,1,0,1.56349206349206
2014-11-01 12:31:06.604000+0000 [Europe/London],53.79,0,0,1,0,1.56349206349206
2014-11-01 12:31:36.604000+0000 [Europe/London],73.435,0,0,1,0,1.56349206349206
2014-11-01 12:32:06.604000+0000 [Europe/London],40.957,0,0,1,0,1.56349206349206
2014-11-01 12:32:36.604000+0000 [Europe/London],48.848,0,0,1,0,1.56349206349206
2014-11-01 12:33:06.604000+0000 [Europe/London],61.361,0,0,1,0,1.56349206349206
2014-11-01 12:33:36.604000+0000 [Europe/London],12.869,0,0,1,0,1.56349206349206
2014-11-01 12:34:06.604000+0000 [Europe/London],30.633,0,0,1,0,1.56349206349206
2014-11-01 12:34:36.604000+0000 [Europe/London],32.145,0,0,1,0,1.56349206349206
2014-11-01 12:35:06.604000+0000 [Europe/London],23.166,0,0,1,0,1.56349206349206
2014-11-01 12:35:36.604000+0000 [Europe/London],21.699,0,0,1,0,1.56349206349206
2014-11-01 12:36:06.604000+0000 [Europe/London],23.592,0,0,1,0,1.56349206349206
2014-11-01 12:36:36.604000+0000 [Europe/London],23.468,0,0,1,0,1.56349206349206
2014-11-01 12:37:06.604000+0000 [Europe/London],25.933,0,0,1,0,1.56349206349206
2014-11-01 12:37:36.604000+0000 [Europe/London],16.437,0,0,1,0,1.56349206349206
