time,acc,light,moderate-vigorous,sedentary,sleep,MET
2014-05-14 10:34:03.160000+0100 [Europe/London],7.924,0,0,1,0,1.56349206349206
2014-05-14 10:34:33.160000+0100 [Europe/London],30.861,0,0,1,0,1.56349206349206
2014-05-14 10:35:03.160000+0100 [Europe/London],34.859,0,0,1,0,1.56349206349206
2014-05-14 10:35:33.160000+0100 [Europe/London],30.103,0,0,1,0,1.56349206349206
2014-05-14 10:36:03.160000+0100 [Europe/London],17.842,0,0,1,0,1.56349206349206
2014-05-14 10:36:33.160000+0100 [Europe/London],23.937,0,0,1,0,1.56349206349206
2014-05-14 10:37:03.160000+0100 [Europe/London],11.429,0,0,1,0,1.56349206349206
2014-05-14 10:37:33.160000+0100 [Europe/London],15.252,0,0,1,0,1.56349206349206
2014-05-14 10:38:03.160000+0100 [Europe/London],22.019,0,0,1,0,1.56349206349206
2014-05-14 10:38:33.160000+0100 [Europe/London],16.943,0,0,1,0,1.56349206349206
2014-05-14 10:39:03.160000+0100 [Europe/London],19.172,0,0,1,0,1.56349206349206
2014-05-14 10:39:33.160000+0100 [Europe/London],17.825,0,0,1,0,1.56349206349206
2014-05-14 10:40:03.160000+0100 [Europe/London],38.869,0,0,1,0,1.56349206349206
2014-05-14 10:40:33.160000+0100 [Europe/London],25.256,0,0,1,0,1.56349206349206
2014-05-14 10:41:03.160000+0100 [Europe/London],20.181,0,0,1,0,1.56349206349206
2014-05-14 10:41:33.160000+0100 [Europe/London],29.071,0,0,1,0,1.56349206349206
2014-05-14 10:42:03.160000+0100 [Europe/London],42.833,0,0,1,0,1.56349206349206
2014-05-14 10:42:33.160000+0100 [Europe/London],36.135,0,0,1,0,1.56349206349206
2014-05-14 10:43:03.160000+0100 [Europe/London],45.827,0,0,1,0,1.56349206349206
2014-05-14 10:43:33.160000+0100 [Europe/London],44.436,0,0,1,0,1.56349206349206
2014-05-14 10:44:03.160000+0100 [Europe/London],22.58,0,0,1,0,1.56349206349206
2014-05-14 10:44:33.160000+0100 [Europe/London],25.927,0,0,1,0,1.56349206349206
2014-05-14 10:45:03.160000+0100 [Europe/London],40.553,0,0,1,0,1.56349206349206
2014-05-14 10:45:33.160000+0100 [Europe/London],59.573,0,0,1,0,1.56349206349206
2014-05-14 10:46:03.160000+0100 [Europe/London],46.375,0,0,1,0,1.56349206349206
2014-05-14 10:46:33.160000+0100 [Europe/London],39.665,0,0,1,0,1.56349206349206
2014-05-14 10:47:03.160000+0100 [Europe/London],36.148,0,0,1,0,1.56349206349206
2014-05-14 10:47:33.160000+0100 [Europe/London],39.348,0,0,1,0,1.56349206349206
2014-05-14 10:48:03.160000+0100 [Europe/London],33.447,0,0,1,0,1.56349206349206
2014-05-14 10:48:33.160000+0100 [Europe/London],28.307,0,0,1,0,1.56349206349206
2014-05-14 10:49:03.160000+0100 [Europe/London],31.495,0,0,1,0,1.56349206349206
2014-05-14 10:49:33.160000+0100 [Europe/London],30.875,0,0,1,0,1.56349206349206
2014-05-14 10:50:03.160000+0100 [Europe/London],29.647,0,0,1,0,1.56349206349206
2014-05-14 10:50:33.160000+0100 [Europe/London],42.069,0,0,1,0,1.56349206349206
2014-05-14 10:51:03.160000+0100 [Europe/London],43.951,0,0,1,0,1.56349206349206
2014-05-14 10:51:33.160000+0100 [Europe/London],44.931,0,0,1,0,1.56349206349206
2014-05-14 10:52:03.160000+0100 [Europe/London],17.189,0,0,1,0,1.56349206349206
2014-05-14 10:52:33.160000+0100 [Europe/London],25.618,0,0,1,0,1.56349206349206
2014-05-14 10:53:03.160000+0100 [Europe/London],25.477,0,0,1,0,1.56349206349206
2014-05-14 10:53:33.160000+0100 [Europe/London],22.258,0,0,1,0,1.56349206349206
2014-05-14 10:54:03.160000+0100 [Europe/London],29.936,0,0,1,0,1.56349206349206
2014-05-14 10:54:33.160000+0100 [Europe/London],17.216,0,0,1,0,1.56349206349206
2014-05-14 10:55:03.160000+0100 [Europe/London],16.562,0,0,1,0,1.56349206349206
2014-05-14 10:55:33.160000+0100 [Europe/London],51.705,0,0,1,0,1.56349206349206
2014-05-14 10:56:03.160000+0100 [Europe/London],43.582,0,0,1,0,1.56349206349206
2014-05-14 10:56:33.160000+0100 [Europe/London],51.006,0,0,1,0,1.56349206349206
2014-05-14 10:57:03.160000+0100 [Europe/London],134.145,0,0,1,0,1.56349206349206
2014-05-14 10:57:33.160000+0100 [Europe/London],41.684,0,0,1,0,1.56349206349206
2014-05-14 10:58:03.160000+0100 [Europe/London],11.402,0,0,1,0,1.56349206349206
2014-05-14 10:58:33.160000+0100 [Europe/London],7.331,0,0,1,0,1.56349206349206
2014-05-14 10:59:03.160000+0100 [Europe/London],8.743,0,0,1,0,1.56349206349206
2014-05-14 10:59:33.160000+0100 [Europe/London],7.136,0,0,1,0,1.56349206349206
2014-05-14 11:00:03.160000+0100 [Europe/London],10.108,0,0,1,0,1.56349206349206
2014-05-14 11:00:33.160000+0100 [Europe/London],8.043,0,0,1,0,1.56349206349206
2014-05-14 11:01:03.160000+0100 [Europe/London],9.604,0,0,1,0,1.56349206349206
2014-05-14 11:01:33.160000+0100 [Europe/London],12.833,0,0,1,0,1.56349206349206
2014-05-14 11:02:03.160000+0100 [Europe/London],7.406,0,0,1,0,1.56349206349206
2014-05-14 11:02:33.160000+0100 [Europe/London],10.825,0,0,1,0,1.56349206349206
2014-05-14 11:03:03.160000+0100 [Europe/London],6.073,0,0,1,0,1.56349206349206
2014-05-14 11:03:33.160000+0100 [Europe/London],5.541,0,0,0,1,0.95
2014-05-14 11:04:03.160000+0100 [Europe/London],4.224,0,0,0,1,0.95
2014-05-14 11:04:33.160000+0100 [Europe/London],4.262,0,0,0,1,0.95
2014-05-14 11:05:03.160000+0100 [Europe/London],3.992,0,0,0,1,0.95
2014-05-14 11:05:33.160000+0100 [Europe/London],3.318,0,0,0,1,0.95
2014-05-14 11:06:03.160000+0100 [Europe/London],3.002,0,0,0,1,0.95
2014-05-14 11:06:33.160000+0100 [Europe/London],3.203,0,0,0,1,0.95
2014-05-14 11:07:03.160000+0100 [Europe/London],3.139,0,0,0,1,0.95
2014-05-14 11:07:33.160000+0100 [Europe/London],3.328,0,0,0,1,0.95
2014-05-14 11:08:03.160000+0100 [Europe/London],3.112,0,0,0,1,0.95
2014-05-14 11:08:33.160000+0100 [Europe/London],2.746,0,0,0,1,0.95
2014-05-14 11:09:03.160000+0100 [Europe/London],3.071,0,0,0,1,0.95
2014-05-14 11:09:33.160000+0100 [Europe/London],6.132,0,0,0,1,0.95
2014-05-14 11:10:03.160000+0100 [Europe/London],0.044,0,0,0,1,0.95
2014-05-14 11:10:33.160000+0100 [Europe/London],0.004,0,0,0,1,0.95
2014-05-14 11:11:03.160000+0100 [Europe/London],0.019,0,0,0,1,0.95
2014-05-14 11:11:33.160000+0100 [Europe/London],0.017,0,0,0,1,0.95
2014-05-14 11:12:03.160000+0100 [Europe/London],0.003,0,0,0,1,0.95
2014-05-14 11:12:33.160000+0100 [Europe/London],0.016,0,0,0,1,0.95
2014-05-14 11:13:03.160000+0100 [Europe/London],0.088,0,0,0,1,0.95
2014-05-14 11:13:33.160000+0100 [Europe/London],0.005,0,0,0,1,0.95
2014-05-14 11:14:03.160000+0100 [Europe/London],0.005,0,0,0,1,0.95
2014-05-14 11:14:33.160000+0100 [Europe/London],0.016,0,0,0,1,0.95
2014-05-14 11:15:03.160000+0100 [Europe/London],4.824,0,0,1,0,1.56349206349206
2014-05-14 11:15:33.160000+0100 [Europe/London],69.958,0,0,1,0,1.56349206349206
2014-05-14 11:16:03.160000+0100 [Europe/London],11.246,0,0,1,0,1.56349206349206
2014-05-14 11:16:33.160000+0100 [Europe/London],6.947,0,0,1,0,1.56349206349206
2014-05-14 11:17:03.160000+0100 [Europe/London],15.95,0,0,1,0,1.56349206349206
2014-05-14 11:17:33.160000+0100 [Europe/London],25.574,0,0,1,0,1.56349206349206
2014-05-14 11:18:03.160000+0100 [Europe/London],35.129,0,0,1,0,1.56349206349206
2014-05-14 11:18:33.160000+0100 [Europe/London],30.89,0,0,1,0,1.56349206349206
