acc,light,moderate-vigorous,sedentary,sleep,MET
159.431,1,0,0,0,2.27083333333333
59.877,1,0,0,0,2.27083333333333
291.677,1,0,0,0,2.27083333333333
172.289,1,0,0,0,2.27083333333333
202.54,1,0,0,0,2.27083333333333
163.741,1,0,0,0,2.27083333333333
225.5,1,0,0,0,2.27083333333333
236.971,1,0,0,0,2.27083333333333
162.939,1,0,0,0,2.27083333333333
99.63,1,0,0,0,2.27083333333333
93.585,1,0,0,0,2.27083333333333
59.532,1,0,0,0,2.27083333333333
158.116,1,0,0,0,2.27083333333333
130.026,1,0,0,0,2.27083333333333
127.093,1,0,0,0,2.27083333333333
62.076,1,0,0,0,2.27083333333333
48.098,1,0,0,0,2.27083333333333
55.736,1,0,0,0,2.27083333333333
67.175,1,0,0,0,2.27083333333333
49.694,1,0,0,0,2.27083333333333
6.795,0,0,1,0,1.56349206349206
3.646,0,0,1,0,1.56349206349206
10.344,0,0,1,0,1.56349206349206
3.374,0,0,1,0,1.56349206349206
4.758,0,0,1,0,1.56349206349206
2.325,0,0,1,0,1.56349206349206
2.419,0,0,1,0,1.56349206349206
6.891,0,0,1,0,1.56349206349206
11.78,0,0,1,0,1.56349206349206
6.45,0,0,1,0,1.56349206349206
5.232,0,0,1,0,1.56349206349206
11.586,0,0,1,0,1.56349206349206
2.45,0,0,1,0,1.56349206349206
0.996,0,0,1,0,1.56349206349206
1.242,0,0,1,0,1.56349206349206
3.965,0,0,1,0,1.56349206349206
2.812,0,0,1,0,1.56349206349206
2.873,0,0,1,0,1.56349206349206
3.21,0,0,1,0,1.56349206349206
5.042,0,0,1,0,1.56349206349206
5.618,0,0,1,0,1.56349206349206
5.814,0,0,1,0,1.56349206349206
7.129,0,0,1,0,1.56349206349206
2.986,0,0,1,0,1.56349206349206
4.392,0,0,1,0,1.56349206349206
1.826,0,0,1,0,1.56349206349206
1.6,0,0,1,0,1.56349206349206
7.045,0,0,1,0,1.56349206349206
3.049,0,0,1,0,1.56349206349206
2.303,0,0,1,0,1.56349206349206
2.79,0,0,1,0,1.56349206349206
3.358,0,0,1,0,1.56349206349206
5.522,0,0,1,0,1.56349206349206
2.19,0,0,1,0,1.56349206349206
3.98,0,0,1,0,1.56349206349206
3.011,0,0,1,0,1.56349206349206
3.707,0,0,1,0,1.56349206349206
2.739,0,0,1,0,1.56349206349206
6.908,0,0,1,0,1.56349206349206
10.816,0,0,1,0,1.56349206349206
6.82,0,0,1,0,1.56349206349206
46.289,0,0,1,0,1.56349206349206
6.966,0,0,1,0,1.56349206349206
1.586,0,0,1,0,1.56349206349206
21.078,0,0,1,0,1.56349206349206
30.778,0,0,1,0,1.56349206349206
17.865,0,0,1,0,1.56349206349206
7.929,0,0,1,0,1.56349206349206
10.782,0,0,1,0,1.56349206349206
4.727,0,0,1,0,1.56349206349206
22.04,0,0,1,0,1.56349206349206
11.359,0,0,1,0,1.56349206349206
7.79,0,0,1,0,1.56349206349206
1.251,0,0,1,0,1.56349206349206
0.798,0,0,1,0,1.56349206349206
