time, acc, light, moderate-vigorous, sedentary, sleep, MET
2014-03-15 10:00:05.233000+0000 [Europe/London], 23.124, 0.0, 0.0, 1.0, 0.0, 1.5634920634920635
2014-03-15 10:00:35.233000+0000 [Europe/London], 8.326, 0.0, 0.0, 1.0, 0.0, 1.5634920634920635
2014-03-15 10:01:05.233000+0000 [Europe/London], 25.848, 0.0, 0.0, 1.0, 0.0, 1.5634920634920635
2014-03-15 10:01:35.233000+0000 [Europe/London], 38.913000000000004, 0.0, 0.0, 1.0, 0.0, 1.5634920634920635
2014-03-15 10:02:05.233000+0000 [Europe/London], 17.125, 0.0, 0.0, 1.0, 0.0, 1.5634920634920635
2014-03-15 10:02:35.233000+0000 [Europe/London], 7.391, 0.0, 0.0, 1.0, 0.0, 1.5634920634920635
2014-03-15 10:03:05.233000+0000 [Europe/London], 16.475, 0.0, 0.0, 1.0, 0.0, 1.5634920634920635
2014-03-15 10:03:35.233000+0000 [Europe/London], 6.968, 0.0, 0.0, 1.0, 0.0, 1.5634920634920635
2014-03-15 10:04:05.233000+0000 [Europe/London], 15.235999999999999, 0.0, 0.0, 1.0, 0.0, 1.5634920634920635
2014-03-15 10:04:35.233000+0000 [Europe/London], 42.804, 0.0, 0.0, 1.0, 0.0, 1.5634920634920635
2014-03-15 10:05:05.233000+0000 [Europe/London], 17.941, 0.0, 0.0, 1.0, 0.0, 1.5634920634920635
2014-03-15 10:05:35.233000+0000 [Europe/London], 16.064999999999998, 0.0, 0.0, 1.0, 0.0, 1.5634920634920635
2014-03-15 10:06:05.233000+0000 [Europe/London], 128.403, 0.0, 1.0, 0.0, 0.0, 4.682608695652173
2014-03-15 10:06:35.233000+0000 [Europe/London], 102.08200000000001, 0.0, 1.0, 0.0, 0.0, 4.682608695652173
2014-03-15 10:07:05.233000+0000 [Europe/London], 44.105, 0.0, 1.0, 0.0, 0.0, 4.682608695652173
2014-03-15 10:07:35.233000+0000 [Europe/London], 93.45100000000001, 0.0, 1.0, 0.0, 0.0, 4.682608695652173
2014-03-15 10:08:05.233000+0000 [Europe/London], 90.28500000000001, 0.0, 1.0, 0.0, 0.0, 4.682608695652173
2014-03-15 10:08:35.233000+0000 [Europe/London], 86.29199999999999, 0.0, 1.0, 0.0, 0.0, 4.682608695652173
2014-03-15 10:09:05.233000+0000 [Europe/London], 44.312999999999995, 0.0, 1.0, 0.0, 0.0, 4.682608695652173
2014-03-15 10:09:35.233000+0000 [Europe/London], 69.69699999999999, 0.0, 1.0, 0.0, 0.0, 4.682608695652173
2014-03-15 10:10:05.233000+0000 [Europe/London], 54.605000000000004, 0.0, 1.0, 0.0, 0.0, 4.682608695652173
2014-03-15 10:10:35.233000+0000 [Europe/London], 165.594, 0.0, 1.0, 0.0, 0.0, 4.682608695652173
2014-03-15 10:11:05.233000+0000 [Europe/London], 300.226, 0.0, 1.0, 0.0, 0.0, 4.682608695652173
2014-03-15 10:11:35.233000+0000 [Europe/London], 250.178, 0.0, 1.0, 0.0, 0.0, 4.682608695652173
2014-03-15 10:12:05.233000+0000 [Europe/London], 234.828, 0.0, 1.0, 0.0, 0.0, 4.682608695652173
2014-03-15 10:12:35.233000+0000 [Europe/London], 242.51, 0.0, 1.0, 0.0, 0.0, 4.682608695652173
2014-03-15 10:13:05.233000+0000 [Europe/London], 156.158, 0.0, 1.0, 0.0, 0.0, 4.682608695652173
2014-03-15 10:13:35.233000+0000 [Europe/London], 129.023, 0.0, 1.0, 0.0, 0.0, 4.682608695652173
2014-03-15 10:14:05.233000+0000 [Europe/London], 160.721, 0.0, 1.0, 0.0, 0.0, 4.682608695652173
2014-03-15 10:14:35.233000+0000 [Europe/London], 366.38100000000003, 0.0, 1.0, 0.0, 0.0, 4.682608695652173
2014-03-15 10:15:05.233000+0000 [Europe/London], 158.946, 0.0, 1.0, 0.0, 0.0, 4.682608695652173
2014-03-15 10:15:35.233000+0000 [Europe/London], 40.904, 1.0, 0.0, 0.0, 0.0, 2.2708333333333335
2014-03-15 10:16:05.233000+0000 [Europe/London], 60.644000000000005, 1.0, 0.0, 0.0, 0.0, 2.2708333333333335
2014-03-15 10:16:35.233000+0000 [Europe/London], 67.57000000000001, 1.0, 0.0, 0.0, 0.0, 2.2708333333333335
2014-03-15 10:17:05.233000+0000 [Europe/London], 57.084999999999994, 1.0, 0.0, 0.0, 0.0, 2.2708333333333335
2014-03-15 10:17:35.233000+0000 [Europe/London], 96.118, 1.0, 0.0, 0.0, 0.0, 2.2708333333333335
2014-03-15 10:18:05.233000+0000 [Europe/London], 102.63, 1.0, 0.0, 0.0, 0.0, 2.2708333333333335
2014-03-15 10:18:35.233000+0000 [Europe/London], 13.122, 1.0, 0.0, 0.0, 0.0, 2.2708333333333335
2014-03-15 10:19:05.233000+0000 [Europe/London], 8.319, 1.0, 0.0, 0.0, 0.0, 2.2708333333333335
2014-03-15 10:19:35.233000+0000 [Europe/London], 45.063, 1.0, 0.0, 0.0, 0.0, 2.2708333333333335
2014-03-15 10:20:05.233000+0000 [Europe/London], 133.70399999999998, 1.0, 0.0, 0.0, 0.0, 2.2708333333333335
2014-03-15 10:20:35.233000+0000 [Europe/London], 68.842, 1.0, 0.0, 0.0, 0.0, 2.2708333333333335
2014-03-15 10:21:05.233000+0000 [Europe/London], 35.476, 1.0, 0.0, 0.0, 0.0, 2.2708333333333335
2014-03-15 10:21:35.233000+0000 [Europe/London], 11.562, 0.0, 0.0, 1.0, 0.0, 1.5634920634920635
