Id;StepTotal
1503960366;0
1503960366;0
1503960366;0
1503960366;0
1503960366;0
1503960366;0
1503960366;0
1503960366;0
1503960366;0
1503960366;8
1503960366;551
1503960366;1764
1503960366;1259
1503960366;253
1503960366;4470
1503960366;4919
1503960366;1905
1503960366;1038
1503960366;14
1503960366;606
1503960366;56
1503960366;782
1503960366;1132
1503960366;918
1503960366;39
1503960366;0
1503960366;27
1503960366;0
1503960366;0
1503960366;0
1503960366;0
1503960366;0
1503960366;6
1503960366;73
1503960366;2850
1503960366;4854
1503960366;24
1503960366;118
1503960366;19
1503960366;510
1503960366;510
1503960366;96
1503960366;4100
1503960366;1756
1503960366;477
1503960366;147
1503960366;214
1503960366;1286
1503960366;54
1503960366;53
1503960366;0
1503960366;0
1503960366;0
1503960366;0
1503960366;0
1503960366;53
1503960366;212
1503960366;2832
1503960366;43
1503960366;220
1503960366;181
1503960366;12
1503960366;44
1503960366;205
1503960366;152
1503960366;226
1503960366;516
1503960366;559
1503960366;1104
1503960366;252
1503960366;0
1503960366;3305
1503960366;33
1503960366;20
1503960366;60
1503960366;0
1503960366;7
1503960366;0
1503960366;4
1503960366;11
1503960366;470
1503960366;1967
1503960366;729
1503960366;659
1503960366;1787
1503960366;333
1503960366;980
1503960366;371
1503960366;605
1503960366;623
1503960366;467
1503960366;282
1503960366;3319
1503960366;1558
1503960366;786
1503960366;313
1503960366;0
1503960366;0
1503960366;4
1503960366;0
1503960366;0
1503960366;0
1503960366;0
1503960366;70
1503960366;490
1503960366;1513
1503960366;224
1503960366;874
1503960366;1451
1503960366;329
1503960366;61
1503960366;456
1503960366;775
1503960366;1446
1503960366;2407
1503960366;103
1503960366;447
1503960366;2120
1503960366;273
1503960366;455
1503960366;263
1503960366;23
1503960366;7
1503960366;0
1503960366;0
1503960366;0
1503960366;0
1503960366;6
1503960366;210
1503960366;1530
1503960366;124
1503960366;1803
1503960366;113
1503960366;1124
1503960366;1160
1503960366;409
1503960366;631
1503960366;203
1503960366;396
1503960366;2165
1503960366;147
1503960366;2016
1503960366;521
1503960366;1176
1503960366;389
1503960366;112
1503960366;0
1503960366;0
1503960366;0
1503960366;4
1503960366;19
1503960366;0
1503960366;172
1503960366;1952
1503960366;279
1503960366;207
1503960366;145
1503960366;242
1503960366;3160
1503960366;852
1503960366;270
1503960366;24
1503960366;444
1503960366;4093
1503960366;1445
1503960366;332
1503960366;13
1503960366;390
1503960366;138
1503960366;0
1503960366;0
1503960366;10
1503960366;0
1503960366;0
1503960366;0
1503960366;53
1503960366;538
1503960366;3454
1503960366;2106
1503960366;1307
1503960366;909
1503960366;303
1503960366;150
1503960366;123
1503960366;127
1503960366;198
1503960366;50
1503960366;533
1503960366;433
1503960366;75
1503960366;850
1503960366;4067
1503960366;115
1503960366;0
1503960366;0
1503960366;0
1503960366;0
1503960366;0
1503960366;0
1503960366;0
1503960366;0
1503960366;1109
1503960366;5000
1503960366;1117
1503960366;312
1503960366;343
1503960366;578
1503960366;876
1503960366;1373
1503960366;1841
1503960366;638
1503960366;718
1503960366;421
1503960366;78
1503960366;57
1503960366;552
1503960366;97
1503960366;0
1503960366;0
1503960366;11
1503960366;0
1503960366;0
1503960366;0
1503960366;55
1503960366;1114
1503960366;1113
1503960366;308
1503960366;467
1503960366;1884
1503960366;184
1503960366;298
1503960366;497
1503960366;355
1503960366;588
1503960366;1564
1503960366;396
1503960366;99
1503960366;172
1503960366;371
1503960366;447
1503960366;0
1503960366;0
1503960366;0
1503960366;0
1503960366;0
1503960366;0
1503960366;0
1503960366;0
1503960366;34
1503960366;1732
1503960366;497
1503960366;296
1503960366;322
1503960366;657
1503960366;1657
1503960366;455
1503960366;278
1503960366;953
1503960366;1123
1503960366;1479
1503960366;366
1503960366;349
1503960366;4587
1503960366;351
1503960366;14
1503960366;50
1503960366;29
1503960366;0
1503960366;0
1503960366;0
1503960366;0
1503960366;82
1503960366;534
1503960366;1623
1503960366;504
1503960366;414
1503960366;411
1503960366;1226
1503960366;2674
1503960366;236
1503960366;383
1503960366;411
1503960366;325
1503960366;2937
1503960366;1086
1503960366;61
1503960366;119
1503960366;413
1503960366;311
1503960366;0
1503960366;7
1503960366;8
1503960366;0
1503960366;8
1503960366;0
1503960366;29
1503960366;553
1503960366;2041
1503960366;90
1503960366;63
1503960366;1180
1503960366;770
1503960366;1320
1503960366;504
1503960366;210
1503960366;526
1503960366;66
1503960366;75
1503960366;3858
1503960366;1090
1503960366;185
1503960366;294
1503960366;42
1503960366;126
1503960366;5
1503960366;7
1503960366;0
1503960366;0
1503960366;0
1503960366;40
1503960366;565
1503960366;1545
1503960366;309
1503960366;1226
1503960366;78
1503960366;187
1503960366;419
1503960366;0
1503960366;427
1503960366;435
1503960366;238
1503960366;135
1503960366;2590
1503960366;2390
1503960366;151
1503960366;89
1503960366;16
1503960366;179
1503960366;0
1503960366;19
1503960366;0
1503960366;0
1503960366;0
1503960366;0
1503960366;0
1503960366;69
1503960366;394
1503960366;145
1503960366;152
1503960366;393
1503960366;759
1503960366;828
1503960366;5564
1503960366;3053
1503960366;3785
1503960366;323
1503960366;207
1503960366;252
1503960366;785
1503960366;686
1503960366;57
1503960366;121
1503960366;0
1503960366;0
1503960366;0
1503960366;0
1503960366;9
1503960366;8
1503960366;0
1503960366;393
1503960366;5033
1503960366;321
1503960366;100
1503960366;684
1503960366;652
1503960366;255
1503960366;99
1503960366;214
1503960366;540
1503960366;2887
1503960366;372
1503960366;461
1503960366;367
1503960366;163
1503960366;152
1503960366;16
1503960366;0
1503960366;0
1503960366;0
1503960366;0
1503960366;0
1503960366;0
1503960366;91
1503960366;1801
1503960366;209
1503960366;242
1503960366;198
1503960366;3422
1503960366;1116
1503960366;281
1503960366;228
1503960366;135
1503960366;252
1503960366;3298
1503960366;872
1503960366;81
1503960366;196
1503960366;641
1503960366;0
1503960366;242
1503960366;15
1503960366;0
1503960366;0
1503960366;6
1503960366;21
1503960366;53
1503960366;185
1503960366;1580
1503960366;446
1503960366;869
1503960366;147
1503960366;1158
1503960366;243
1503960366;413
1503960366;348
1503960366;288
1503960366;535
1503960366;198
1503960366;3559
1503960366;1034
1503960366;0
1503960366;701
1503960366;0
1503960366;0
1503960366;0
1503960366;0
1503960366;0
1503960366;0
1503960366;0
1503960366;0
1503960366;15
1503960366;1379
1503960366;233
1503960366;475
1503960366;1979
1503960366;26
1503960366;443
1503960366;209
1503960366;67
1503960366;35
1503960366;2696
1503960366;1299
1503960366;996
1503960366;570
1503960366;38
1503960366;510
1503960366;154
1503960366;0
1503960366;129
1503960366;0
1503960366;0
1503960366;0
1503960366;0
1503960366;34
1503960366;164
1503960366;1539
1503960366;314
1503960366;119
1503960366;358
1503960366;460
1503960366;796
1503960366;988
