Id;TotalIntensity;AverageIntensity
1503960366;0;0
1503960366;11;183333
1503960366;36;6
1503960366;12;2
1503960366;12;2
1503960366;4;66667
1503960366;7;116667
1503960366;86;1433333
1503960366;33;55
1503960366;14;233333
1503960366;2;33333
1503960366;16;266667
1503960366;110;1833333
1503960366;21;35
1503960366;14;233333
1503960366;2;33333
1503960366;12;2
1503960366;5;83333
1503960366;0;0
1503960366;0;0
1503960366;1;16667
1503960366;0;0
1503960366;0;0
1503960366;0;0
1503960366;2;33333
1503960366;28;466667
1503960366;69;115
1503960366;54;9
1503960366;37;616667
1503960366;27;45
1503960366;13;216667
1503960366;14;233333
1503960366;6;1
1503960366;8;133333
1503960366;10;166667
1503960366;3;5
1503960366;26;433333
1503960366;22;366667
1503960366;6;1
1503960366;31;516667
1503960366;111;185
1503960366;7;116667
1503960366;0;0
1503960366;0;0
1503960366;0;0
1503960366;0;0
1503960366;0;0
1503960366;0;0
1503960366;0;0
1503960366;0;0
1503960366;36;6
1503960366;113;1883333
1503960366;42;7
1503960366;20;333333
1503960366;18;3
1503960366;29;483333
1503960366;29;483333
1503960366;22;366667
1503960366;25;416667
1503960366;36;6
1503960366;40;666667
1503960366;14;233333
1503960366;4;66667
1503960366;3;5
1503960366;23;383333
1503960366;5;83333
1503960366;0;0
1503960366;0;0
1503960366;2;33333
1503960366;0;0
1503960366;0;0
1503960366;0;0
1503960366;6;1
1503960366;27;45
1503960366;17;283333
1503960366;17;283333
1503960366;17;283333
1503960366;51;85
1503960366;9;15
1503960366;19;316667
1503960366;16;266667
1503960366;20;333333
1503960366;31;516667
1503960366;28;466667
1503960366;18;3
1503960366;11;183333
1503960366;14;233333
1503960366;20;333333
1503960366;16;266667
1503960366;0;0
1503960366;0;0
1503960366;0;0
1503960366;0;0
1503960366;0;0
1503960366;0;0
1503960366;0;0
1503960366;0;0
1503960366;2;33333
1503960366;26;433333
1503960366;24;4
1503960366;14;233333
1503960366;15;25
1503960366;24;4
1503960366;44;733333
1503960366;13;216667
1503960366;9;15
1503960366;15;25
1503960366;23;383333
1503960366;22;366667
1503960366;22;366667
1503960366;14;233333
1503960366;117;195
1503960366;10;166667
1503960366;2;33333
1503960366;3;5
1503960366;4;66667
1503960366;0;0
1503960366;0;0
1503960366;0;0
1503960366;0;0
1503960366;6;1
1503960366;25;416667
1503960366;24;4
1503960366;17;283333
1503960366;19;316667
1503960366;17;283333
1503960366;37;616667
1503960366;76;1266667
1503960366;11;183333
1503960366;16;266667
1503960366;14;233333
1503960366;8;133333
1503960366;80;1333333
1503960366;30;5
1503960366;5;83333
1503960366;10;166667
1503960366;19;316667
1503960366;23;383333
1503960366;0;0
1503960366;1;16667
1503960366;1;16667
1503960366;0;0
1503960366;1;16667
1503960366;0;0
1503960366;3;5
1503960366;36;6
1503960366;43;716667
1503960366;8;133333
1503960366;7;116667
1503960366;39;65
1503960366;36;6
1503960366;41;683333
1503960366;17;283333
1503960366;26;433333
1503960366;14;233333
1503960366;5;83333
1503960366;3;5
1503960366;107;1783333
1503960366;29;483333
1503960366;9;15
1503960366;12;2
1503960366;1;16667
1503960366;6;1
1503960366;1;16667
1503960366;1;16667
1503960366;0;0
1503960366;0;0
1503960366;0;0
1503960366;3;5
1503960366;25;416667
1503960366;28;466667
1503960366;14;233333
1503960366;34;566667
1503960366;4;66667
1503960366;7;116667
1503960366;13;216667
1503960366;0;0
1503960366;17;283333
1503960366;14;233333
1503960366;11;183333
1503960366;6;1
1503960366;71;1183333
1503960366;52;866667
1503960366;13;216667
1503960366;7;116667
1503960366;2;33333
1503960366;9;15
1503960366;0;0
1503960366;3;5
1503960366;0;0
1503960366;0;0
1503960366;0;0
1503960366;0;0
1503960366;0;0
1503960366;7;116667
1503960366;21;35
1503960366;8;133333
1503960366;12;2
1503960366;21;35
1503960366;15;25
1503960366;29;483333
1503960366;149;2483333
1503960366;87;145
1503960366;102;17
1503960366;15;25
1503960366;14;233333
1503960366;19;316667
1503960366;39;65
1503960366;23;383333
1503960366;2;33333
1503960366;5;83333
1503960366;0;0
1503960366;0;0
1503960366;0;0
1503960366;0;0
1503960366;1;16667
1503960366;2;33333
1503960366;0;0
1503960366;20;333333
1503960366;126;21
1503960366;11;183333
1503960366;5;83333
1503960366;28;466667
1503960366;27;45
1503960366;9;15
1503960366;7;116667
1503960366;17;283333
1503960366;28;466667
1503960366;85;1416667
1503960366;24;4
1503960366;26;433333
1503960366;15;25
1503960366;8;133333
1503960366;10;166667
1503960366;1;16667
1503960366;0;0
1503960366;0;0
1503960366;0;0
1503960366;0;0
1503960366;0;0
1503960366;0;0
1503960366;4;66667
1503960366;30;5
1503960366;8;133333
1503960366;10;166667
1503960366;9;15
1503960366;70;1166667
1503960366;33;55
1503960366;10;166667
1503960366;10;166667
1503960366;14;233333
1503960366;19;316667
1503960366;90;15
1503960366;18;3
1503960366;7;116667
1503960366;12;2
1503960366;26;433333
1503960366;0;0
1503960366;13;216667
1503960366;2;33333
1503960366;0;0
1503960366;0;0
1503960366;1;16667
1503960366;1;16667
1503960366;3;5
1503960366;10;166667
1503960366;32;533333
1503960366;17;283333
1503960366;25;416667
1503960366;9;15
1503960366;39;65
1503960366;5;83333
1503960366;13;216667
1503960366;16;266667
1503960366;12;2
1503960366;22;366667
1503960366;24;4
1503960366;97;1616667
1503960366;19;316667
1503960366;0;0
1503960366;23;383333
1503960366;0;0
1503960366;0;0
1503960366;0;0
1503960366;0;0
1503960366;0;0
1503960366;0;0
1503960366;0;0
1503960366;0;0
1503960366;1;16667
1503960366;23;383333
1503960366;13;216667
1503960366;12;2
1503960366;52;866667
1503960366;3;5
1503960366;12;2
1503960366;12;2
1503960366;4;66667
1503960366;4;66667
1503960366;72;12
1503960366;38;633333
1503960366;45;75
1503960366;27;45
1503960366;3;5
1503960366;18;3
1503960366;11;183333
1503960366;0;0
1503960366;7;116667
1503960366;0;0
1503960366;0;0
1503960366;0;0
1503960366;0;0
1503960366;4;66667
1503960366;8;133333
1503960366;29;483333
1503960366;13;216667
1503960366;4;66667
1503960366;13;216667
1503960366;16;266667
1503960366;26;433333
1503960366;25;416667
1503960366;8;133333
1503960366;10;166667
1503960366;12;2
1503960366;6;1
1503960366;27;45
1503960366;26;433333
1503960366;20;333333
1503960366;97;1616667
1503960366;5;83333
1503960366;1;16667
1503960366;3;5
1503960366;5;83333
1503960366;0;0
1503960366;0;0
1503960366;0;0
1503960366;4;66667
1503960366;15;25
1503960366;13;216667
1503960366;5;83333
1503960366;3;5
1503960366;2;33333
1503960366;2;33333
1503960366;12;2
1503960366;8;133333
1503960366;14;233333
1503960366;1;16667
1503960366;9;15
1503960366;2;33333
1503960366;75;125
1503960366;58;966667
1503960366;103;1716667
1503960366;43;716667
1503960366;14;233333
1503960366;0;0
1503960366;0;0
1503960366;6;1
1503960366;0;0
1503960366;1;16667
1503960366;0;0
1503960366;6;1
1503960366;3;5
1503960366;6;1
1503960366;4;66667
1503960366;15;25
1503960366;2;33333
1503960366;24;4
1503960366;6;1
1503960366;18;3
1503960366;27;45
1503960366;10;166667
1503960366;6;1
1503960366;102;17
1503960366;55;916667
1503960366;26;433333
1503960366;29;483333
1503960366;26;433333
1503960366;11;183333
1503960366;1;16667
1503960366;4;66667
1503960366;3;5
1503960366;1;16667
1503960366;1;16667
1503960366;0;0
1503960366;0;0
1503960366;0;0
1503960366;8;133333
1503960366;32;533333
1503960366;18;3
1503960366;31;516667
1503960366;38;633333
1503960366;3;5
1503960366;32;533333
1503960366;9;15
1503960366;18;3
1503960366;17;283333
1503960366;21;35
1503960366;18;3
1503960366;25;416667
1503960366;17;283333
1503960366;111;185
1503960366;8;133333
1503960366;2;33333
1503960366;2;33333
1503960366;1;16667
1503960366;0;0
1503960366;1;16667
1503960366;0;0
1503960366;4;66667
1503960366;22;366667
1503960366;41;683333
1503960366;15;25
1503960366;12;2
1503960366;58;966667
1503960366;10;166667
1503960366;16;266667
1503960366;13;216667
1503960366;8;133333
1503960366;33;55
1503960366;25;416667
1503960366;71;1183333
1503960366;32;533333
1503960366;27;45
1503960366;9;15
1503960366;40;666667
1503960366;15;25
1503960366;3;5
1503960366;9;15
1503960366;3;5
1503960366;0;0
1503960366;0;0
1503960366;1;16667
1503960366;2;33333
1503960366;12;2
1503960366;30;5
1503960366;11;183333
1503960366;14;233333
1503960366;10;166667
1503960366;68;1133333
1503960366;43;716667
1503960366;36;6
1503960366;16;266667
1503960366;25;416667
1503960366;52;866667
1503960366;24;4
1503960366;53;883333
1503960366;22;366667
1503960366;9;15
1503960366;27;45
1503960366;7;116667
1503960366;3;5
1503960366;2;33333
1503960366;0;0
1503960366;0;0
1503960366;0;0
1503960366;0;0
1503960366;0;0
1503960366;15;25
1503960366;24;4
1503960366;16;266667
1503960366;11;183333
1503960366;11;183333
1503960366;75;125
1503960366;5;83333
1503960366;8;133333
1503960366;7;116667
1503960366;10;166667
1503960366;21;35
1503960366;53;883333
1503960366;26;433333
1503960366;21;35
1503960366;13;216667
1503960366;5;83333
1503960366;1;16667
1503960366;0;0
1503960366;0;0
1503960366;0;0
1503960366;0;0
1503960366;0;0
1503960366;0;0
1503960366;0;0
1503960366;0;0
1503960366;29;483333
1503960366;25;416667
1503960366;2;33333
1503960366;35;583333
1503960366;9;15
1503960366;46;766667
1503960366;12;2
1503960366;21;35
1503960366;12;2
1503960366;9;15
1503960366;25;416667
1503960366;12;2
1503960366;2;33333
1503960366;6;1
1503960366;40;666667
1503960366;14;233333
1503960366;2;33333
1503960366;0;0
1503960366;0;0
1503960366;0;0
1503960366;0;0
1503960366;0;0
1503960366;0;0
1503960366;0;0
1503960366;22;366667
1503960366;18;3
1503960366;8;133333
1503960366;5;83333
1503960366;10;166667
1503960366;91;1516667
1503960366;7;116667
1503960366;5;83333
1503960366;43;716667
1503960366;22;366667
1503960366;75;125
1503960366;21;35
1503960366;26;433333
1503960366;13;216667
1503960366;12;2
1503960366;5;83333
1503960366;7;116667
1503960366;15;25
1503960366;1;16667
1503960366;0;0
1503960366;0;0
1503960366;1;16667
1503960366;1;16667
1503960366;3;5
1503960366;4;66667
1503960366;25;416667
1503960366;9;15
1503960366;39;65
1503960366;26;433333
1503960366;4;66667
1503960366;38;633333
1503960366;2;33333
1503960366;76;1266667
1503960366;52;866667
1503960366;4;66667
1503960366;6;1
1503960366;19;316667
1503960366;36;6
1503960366;1;16667
1503960366;17;283333
1503960366;0;0
1503960366;0;0
1503960366;7;116667
1503960366;0;0
1503960366;0;0
1503960366;0;0
1503960366;1;16667
1503960366;0;0
1503960366;0;0
1503960366;0;0
1503960366;4;66667
1503960366;45;75
1503960366;88;1466667
1503960366;46;766667
1503960366;17;283333
1503960366;3;5
1503960366;2;33333
1503960366;1;16667
1503960366;9;15
1503960366;29;483333
1503960366;5;83333
1503960366;2;33333
1503960366;50;833333
1503960366;0;0
1503960366;0;0
1503960366;6;1
1503960366;0;0
1503960366;0;0
1503960366;0;0
1503960366;0;0
1503960366;2;33333
1503960366;10;166667
1503960366;30;5
1503960366;14;233333
1503960366;9;15
1503960366;28;466667
1503960366;41;683333
1503960366;20;333333
1503960366;17;283333
1503960366;12;2
1503960366;14;233333
1503960366;55;916667
1503960366;19;316667
1503960366;17;283333
1503960366;5;83333
1503960366;6;1
1503960366;17;283333
1624580081;11;183333
1624580081;10;166667
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;3;5
1624580081;6;1
1624580081;3;5
1624580081;3;5
1624580081;7;116667
1624580081;0;0
1624580081;0;0
1624580081;19;316667
1624580081;13;216667
1624580081;14;233333
1624580081;8;133333
1624580081;1;16667
1624580081;9;15
1624580081;3;5
1624580081;1;16667
1624580081;1;16667
1624580081;12;2
1624580081;0;0
1624580081;2;33333
1624580081;1;16667
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;9;15
1624580081;4;66667
1624580081;0;0
1624580081;1;16667
1624580081;2;33333
1624580081;3;5
1624580081;0;0
1624580081;0;0
1624580081;16;266667
1624580081;0;0
1624580081;2;33333
1624580081;2;33333
1624580081;4;66667
1624580081;2;33333
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;2;33333
1624580081;2;33333
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;9;15
1624580081;0;0
1624580081;0;0
1624580081;12;2
1624580081;5;83333
1624580081;8;133333
1624580081;12;2
1624580081;13;216667
1624580081;9;15
1624580081;8;133333
1624580081;6;1
1624580081;7;116667
1624580081;3;5
1624580081;0;0
1624580081;5;83333
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;2;33333
1624580081;0;0
1624580081;0;0
1624580081;5;83333
1624580081;28;466667
1624580081;41;683333
1624580081;2;33333
1624580081;5;83333
1624580081;0;0
1624580081;4;66667
1624580081;0;0
1624580081;22;366667
1624580081;14;233333
1624580081;0;0
1624580081;8;133333
1624580081;8;133333
1624580081;22;366667
1624580081;2;33333
1624580081;6;1
1624580081;6;1
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;3;5
1624580081;0;0
1624580081;2;33333
1624580081;4;66667
1624580081;52;866667
1624580081;21;35
1624580081;6;1
1624580081;3;5
1624580081;2;33333
1624580081;23;383333
1624580081;20;333333
1624580081;20;333333
1624580081;43;716667
1624580081;11;183333
1624580081;9;15
1624580081;22;366667
1624580081;16;266667
1624580081;14;233333
1624580081;2;33333
1624580081;1;16667
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;38;633333
1624580081;25;416667
1624580081;5;83333
1624580081;6;1
1624580081;42;7
1624580081;26;433333
1624580081;0;0
1624580081;0;0
1624580081;1;16667
1624580081;10;166667
1624580081;21;35
1624580081;46;766667
1624580081;31;516667
1624580081;16;266667
1624580081;41;683333
1624580081;14;233333
1624580081;4;66667
1624580081;8;133333
1624580081;0;0
1624580081;1;16667
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;1;16667
1624580081;3;5
1624580081;3;5
1624580081;3;5
1624580081;3;5
1624580081;2;33333
1624580081;4;66667
1624580081;8;133333
1624580081;1;16667
1624580081;1;16667
1624580081;5;83333
1624580081;13;216667
1624580081;32;533333
1624580081;28;466667
1624580081;7;116667
1624580081;0;0
1624580081;23;383333
1624580081;7;116667
1624580081;5;83333
1624580081;3;5
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;2;33333
1624580081;18;3
1624580081;9;15
1624580081;1;16667
1624580081;7;116667
1624580081;0;0
1624580081;6;1
1624580081;5;83333
1624580081;22;366667
1624580081;8;133333
1624580081;5;83333
1624580081;3;5
1624580081;18;3
1624580081;0;0
1624580081;18;3
1624580081;3;5
1624580081;2;33333
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;6;1
1624580081;42;7
1624580081;16;266667
1624580081;2;33333
1624580081;0;0
1624580081;3;5
1624580081;7;116667
1624580081;4;66667
1624580081;7;116667
1624580081;1;16667
1624580081;4;66667
1624580081;4;66667
1624580081;3;5
1624580081;3;5
1624580081;4;66667
1624580081;0;0
1624580081;2;33333
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;3;5
1624580081;5;83333
1624580081;5;83333
1624580081;6;1
1624580081;0;0
1624580081;5;83333
1624580081;8;133333
1624580081;1;16667
1624580081;2;33333
1624580081;34;566667
1624580081;0;0
1624580081;6;1
1624580081;7;116667
1624580081;1;16667
1624580081;7;116667
1624580081;2;33333
1624580081;6;1
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;1;16667
1624580081;1;16667
1624580081;7;116667
1624580081;31;516667
1624580081;7;116667
1624580081;6;1
1624580081;2;33333
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;5;83333
1624580081;0;0
1624580081;25;416667
1624580081;3;5
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;4;66667
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;1;16667
1624580081;0;0
1624580081;1;16667
1624580081;2;33333
1624580081;23;383333
1624580081;3;5
1624580081;0;0
1624580081;5;83333
1624580081;10;166667
1624580081;17;283333
1624580081;6;1
1624580081;3;5
1624580081;23;383333
1624580081;21;35
1624580081;66;11
1624580081;5;83333
1624580081;4;66667
1624580081;8;133333
1624580081;3;5
1624580081;15;25
1624580081;10;166667
1624580081;1;16667
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;1;16667
1624580081;5;83333
1624580081;5;83333
1624580081;11;183333
1624580081;3;5
1624580081;0;0
1624580081;6;1
1624580081;13;216667
1624580081;1;16667
1624580081;4;66667
1624580081;4;66667
1624580081;2;33333
1624580081;3;5
1624580081;4;66667
1624580081;2;33333
1624580081;3;5
1624580081;0;0
1624580081;2;33333
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;4;66667
1624580081;0;0
1624580081;6;1
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;1;16667
1624580081;2;33333
1624580081;26;433333
1624580081;18;3
1624580081;35;583333
1624580081;14;233333
1624580081;0;0
1624580081;8;133333
1624580081;5;83333
1624580081;0;0
1624580081;2;33333
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;1;16667
1624580081;0;0
1624580081;1;16667
1624580081;2;33333
1624580081;12;2
1624580081;3;5
1624580081;0;0
1624580081;20;333333
1624580081;1;16667
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;1;16667
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;8;133333
1624580081;31;516667
1624580081;17;283333
1624580081;0;0
1624580081;17;283333
1624580081;7;116667
1624580081;8;133333
1624580081;5;83333
1624580081;7;116667
1624580081;10;166667
1624580081;1;16667
1624580081;12;2
1624580081;5;83333
1624580081;2;33333
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;1;16667
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;11;183333
1624580081;3;5
1624580081;0;0
1624580081;6;1
1624580081;20;333333
1624580081;0;0
1624580081;3;5
1624580081;0;0
1624580081;3;5
1624580081;19;316667
1624580081;2;33333
1624580081;5;83333
1624580081;0;0
1624580081;3;5
1624580081;1;16667
1624580081;2;33333
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;1;16667
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;2;33333
1624580081;2;33333
1624580081;5;83333
1624580081;5;83333
1624580081;2;33333
1624580081;0;0
1624580081;9;15
1624580081;0;0
1624580081;0;0
1624580081;6;1
1624580081;10;166667
1624580081;2;33333
1624580081;6;1
1624580081;11;183333
1624580081;2;33333
1624580081;21;35
1624580081;1;16667
1624580081;1;16667
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;1;16667
1624580081;2;33333
1624580081;3;5
1624580081;0;0
1624580081;1;16667
1624580081;12;2
1624580081;2;33333
1624580081;0;0
1624580081;1;16667
1624580081;2;33333
1624580081;5;83333
1624580081;8;133333
1624580081;3;5
1624580081;2;33333
1624580081;7;116667
1624580081;4;66667
1624580081;8;133333
1624580081;0;0
1624580081;0;0
1624580081;8;133333
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;2;33333
1624580081;0;0
1624580081;0;0
1624580081;3;5
1624580081;1;16667
1624580081;4;66667
1624580081;3;5
1624580081;1;16667
1624580081;4;66667
1624580081;6;1
1624580081;23;383333
1624580081;15;25
1624580081;26;433333
1624580081;11;183333
1624580081;39;65
1624580081;12;2
1624580081;15;25
1624580081;2;33333
1624580081;2;33333
1624580081;1;16667
1624580081;1;16667
1624580081;0;0
1624580081;0;0
1624580081;1;16667
1624580081;0;0
1624580081;41;683333
1624580081;43;716667
1624580081;2;33333
1624580081;0;0
1624580081;3;5
1624580081;2;33333
1624580081;0;0
1624580081;3;5
1624580081;3;5
1624580081;2;33333
1624580081;11;183333
1624580081;30;5
1624580081;38;633333
1624580081;11;183333
1624580081;3;5
1624580081;22;366667
1624580081;5;83333
1624580081;0;0
1624580081;4;66667
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;1;16667
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;1;16667
1624580081;4;66667
1624580081;5;83333
1624580081;0;0
1624580081;0;0
1624580081;13;216667
1624580081;0;0
1624580081;1;16667
1624580081;8;133333
1624580081;19;316667
1624580081;16;266667
1624580081;0;0
1624580081;3;5
1624580081;8;133333
1624580081;11;183333
1624580081;4;66667
1624580081;4;66667
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;8;133333
1624580081;11;183333
1624580081;4;66667
1624580081;16;266667
1624580081;12;2
1624580081;33;55
1624580081;22;366667
1624580081;1;16667
1624580081;6;1
1624580081;0;0
1624580081;0;0
1624580081;3;5
1624580081;17;283333
1624580081;4;66667
1624580081;1;16667
1624580081;10;166667
1624580081;8;133333
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;1;16667
1624580081;1;16667
1624580081;0;0
1624580081;3;5
1624580081;13;216667
1624580081;38;633333
1624580081;57;95
1624580081;58;966667
1624580081;38;633333
1624580081;2;33333
1624580081;12;2
1624580081;3;5
1624580081;2;33333
1624580081;7;116667
1624580081;6;1
1624580081;2;33333
1624580081;4;66667
1624580081;5;83333
1624580081;5;83333
1624580081;1;16667
1624580081;1;16667
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;1;16667
1624580081;0;0
1624580081;1;16667
1624580081;0;0
1624580081;5;83333
1624580081;5;83333
1624580081;4;66667
1624580081;2;33333
1624580081;0;0
1624580081;5;83333
1624580081;0;0
1624580081;14;233333
1624580081;12;2
1624580081;2;33333
1624580081;3;5
1624580081;13;216667
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;3;5
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;1;16667
1624580081;0;0
1624580081;0;0
1624580081;1;16667
1624580081;4;66667
1624580081;6;1
1624580081;2;33333
1624580081;6;1
1624580081;3;5
1624580081;1;16667
1624580081;0;0
1624580081;0;0
1624580081;16;266667
1624580081;1;16667
1624580081;2;33333
1624580081;4;66667
1624580081;5;83333
1624580081;3;5
1624580081;0;0
1624580081;0;0
1624580081;5;83333
1624580081;0;0
1624580081;0;0
1624580081;2;33333
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;1;16667
1624580081;0;0
1624580081;3;5
1624580081;5;83333
1624580081;0;0
1624580081;2;33333
1624580081;4;66667
1624580081;0;0
1624580081;5;83333
1624580081;6;1
1624580081;3;5
1624580081;0;0
1624580081;13;216667
1624580081;2;33333
1624580081;8;133333
1624580081;0;0
1624580081;2;33333
1624580081;2;33333
1624580081;2;33333
1624580081;0;0
1624580081;0;0
1624580081;2;33333
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;2;33333
1624580081;54;9
1624580081;4;66667
1624580081;0;0
1624580081;0;0
1624580081;2;33333
1624580081;6;1
1624580081;2;33333
1624580081;28;466667
1624580081;4;66667
1624580081;2;33333
1624580081;6;1
1624580081;17;283333
1624580081;1;16667
1624580081;3;5
1624580081;1;16667
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;5;83333
1624580081;7;116667
1624580081;1;16667
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;22;366667
1624580081;14;233333
1624580081;7;116667
1624580081;8;133333
1624580081;5;83333
1624580081;1;16667
1624580081;18;3
1624580081;0;0
1624580081;8;133333
1624580081;16;266667
1624580081;5;83333
1624580081;13;216667
1624580081;13;216667
1624580081;0;0
1624580081;8;133333
1624580081;6;1
1624580081;0;0
1624580081;0;0
1624580081;0;0
1624580081;2;33333
1624580081;0;0
1624580081;12;2
1624580081;23;383333
1624580081;30;5
1624580081;9;15
1624580081;12;2
1624580081;26;433333
1624580081;19;316667
1624580081;2;33333
1624580081;15;25
1624580081;1;16667
1624580081;0;0
1624580081;11;183333
1624580081;19;316667
1624580081;0;0
1624580081;2;33333
1624580081;3;5
