Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-10-13 17:26:00+02:00,122.0,122.0,121.9000015258789,121.91999816894531,0,0.0,0.0
2023-10-13 17:27:00+02:00,121.91999816894531,121.91999816894531,121.83999633789062,121.83999633789062,1905,0.0,0.0
2023-10-13 17:28:00+02:00,121.87999725341797,121.9800033569336,121.86000061035156,121.9800033569336,2551,0.0,0.0
2023-10-13 17:29:00+02:00,121.9800033569336,121.9800033569336,121.95999908447266,121.9800033569336,667,0.0,0.0
2023-10-16 09:00:00+02:00,122.0199966430664,122.4000015258789,122.0199966430664,122.4000015258789,0,0.0,0.0
2023-10-16 09:02:00+02:00,122.5999984741211,122.5999984741211,122.5999984741211,122.5999984741211,0,0.0,0.0
2023-10-16 09:03:00+02:00,122.30000305175781,122.30000305175781,122.30000305175781,122.30000305175781,3807,0.0,0.0
2023-10-16 09:04:00+02:00,122.44000244140625,122.5199966430664,122.44000244140625,122.5,369,0.0,0.0
2023-10-16 09:05:00+02:00,122.45999908447266,122.45999908447266,122.37999725341797,122.37999725341797,681,0.0,0.0
2023-10-16 09:07:00+02:00,122.31999969482422,122.31999969482422,122.27999877929688,122.27999877929688,318,0.0,0.0
2023-10-16 09:08:00+02:00,122.26000213623047,122.26000213623047,122.0199966430664,122.0199966430664,536,0.0,0.0
2023-10-16 09:09:00+02:00,122.0199966430664,122.0199966430664,121.95999908447266,121.95999908447266,253,0.0,0.0
2023-10-16 09:10:00+02:00,121.9000015258789,121.91999816894531,121.9000015258789,121.91999816894531,144,0.0,0.0
2023-10-16 09:11:00+02:00,121.87999725341797,121.87999725341797,121.83999633789062,121.86000061035156,292,0.0,0.0
2023-10-16 09:13:00+02:00,121.86000061035156,121.87999725341797,121.86000061035156,121.87999725341797,100,0.0,0.0
2023-10-16 09:14:00+02:00,121.86000061035156,121.87999725341797,121.86000061035156,121.86000061035156,114,0.0,0.0
2023-10-16 09:15:00+02:00,121.76000213623047,121.76000213623047,121.55999755859375,121.5999984741211,498,0.0,0.0
2023-10-16 09:16:00+02:00,121.63999938964844,121.63999938964844,121.58000183105469,121.58000183105469,90,0.0,0.0
2023-10-16 09:17:00+02:00,121.5999984741211,121.63999938964844,121.5999984741211,121.63999938964844,99,0.0,0.0
2023-10-16 09:18:00+02:00,121.58000183105469,121.5999984741211,121.5199966430664,121.5199966430664,198,0.0,0.0
2023-10-16 09:19:00+02:00,121.5999984741211,121.5999984741211,121.5999984741211,121.5999984741211,533,0.0,0.0
2023-10-16 09:21:00+02:00,121.5999984741211,121.62000274658203,121.5199966430664,121.55999755859375,313,0.0,0.0
2023-10-16 09:22:00+02:00,121.54000091552734,121.54000091552734,121.44000244140625,121.44000244140625,1454,0.0,0.0
